ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Симонов Роман Андреевич,Улица Кравченко,8,16,1955,,,,,Волков Кирилл Маркович
Алексеев Матвей Яковлевич,"Ленинский проспект
",19,157,1994,,,,,Воронин Сергей Дмитриевич
Васильева София Николаевна,Улица Кравченко,6,174,1954,,,,,Воронина Полина Глебовна
Суворов Макар Александрович,Улица Марии Ульяновой,9,250,1974,,,,,Герасимов Андрей Матвеевич
Озеров Григорий Иванович,Улица Крупской,4,150,1958,,,,,Герасимов Артур Денисович
Жданова Ульяна Никитична,Улица Архитектора Власова,5,253,1995,,,,,Глухова Полина Андреевна
Гордеева Диана Михайловна,Улица Академика Пилюгина,20,188,1977,,,,,Голиков Лев Никитич
Баранова Виктория Максимовна,Улица Марии Ульяновой,12,168,1980,,,,,Голиков Кирилл Маркович
Иванова Татьяна Юрьевна,Улица Панфёрова,22,270,1953,,,,,Гордеева Диана Михайловна
Гришина Кира Артемьевна,Улица Крупской,23,125,1969,,,,,Горелов Владимир Дмитриевич
Карпов Александр Тимурович,Улица Академика Пилюгина,6,75,1995,,,,,Грачев Платон Русланович
Романова Вероника Николаевна,"Ленинский проспект
",29,40,1965,,,,,Григорьев Пётр Александрович
Рыбаков Фёдор Дмитриевич,Улица Архитектора Власова,25,268,1951,,,,,Гришина Кира Артемьевна
Егорова Надежда Дмитриевна,Улица Панфёрова,25,126,2000,,,,,Громова Кира Антоновна
Давыдов Кирилл Янович,Улица Марии Ульяновой,20,299,1988,,,,,Давыдов Кирилл Янович
Филиппова Надежда Ярославовна,Улица Вавилова,6,242,1991,,,,,Данилова Диана Тимуровна
Снегирева Дарья Глебовна,Улица Крупской,3,93,1981,,,,,Денисов Илья Дмитриевич
Жданов Илья Михайлович,Нахимовский проспект,26,207,1976,,,,,Денисов Алексей Романович
Антонов Артём Платонович,"Ленинский проспект
",3,184,1961,,,,,Дмитриев Ярослав Романович
Усова Алиса Николаевна,Нахимовский проспект,4,230,1973,,,,,Добрынин Дмитрий Тихонович
Захаров Роман Денисович,Улица Строителей,1,219,1961,,,,,Дорофеев Никита Александрович
Иванова Татьяна Юрьевна,Проспект Вернадского,6,78,1957,,,,,Дорофеева Анна Фёдоровна
Алексеев Степан Семёнович,Улица Панфёрова,2,249,1971,,,,,Дьякова Анастасия Александровна
Новикова Елизавета Дмитриевна,Улица Гарибальди,11,88,1956,,,,,Егоров Глеб Семёнович
Новикова София Елисеевна,Улица Кравченко,29,205,1958,,,,,Егорова Надежда Дмитриевна
Петров Георгий Николаевич,Улица Марии Ульяновой,3,44,1964,,,,,Ежова Ксения Георгиевна
Соколова Полина Романовна,Улица Кравченко,9,27,1964,,,,,Елизарова Антонина Игоревна
Денисов Алексей Романович,Проспект Вернадского,25,56,1991,,,,,Ермакова Майя Никитична
Суворов Макар Александрович,Улица Кравченко,27,168,1960,,,,,Жданов Кирилл Фёдорович
Козлов Иван Михайлович,Улица Марии Ульяновой,16,189,1981,,,,,Жданов Илья Михайлович
Карпов Александр Тимурович,Нахимовский проспект,17,176,1964,,,,,Жданова Ульяна Никитична
Козлов Иван Михайлович,Улица Архитектора Власова,23,289,1964,,,,,Захаров Роман Денисович
Копылов Григорий Платонович,Улица Архитектора Власова,22,213,1972,,,,,Захаров Николай Александрович
Гордеева Диана Михайловна,Улица Кравченко,11,25,1987,,,,,Захаров Илья Никитич
Островский Макар Глебович,Улица Вавилова,6,141,1989,,,,,Захарова Дарина Ярославовна
Павлов Евгений Кириллович,Улица Марии Ульяновой,5,300,1966,,,,,Зубков Алексей Арсеньевич
Филиппова София Максимовна,Улица Кравченко,8,168,1972,,,,,Иванов Артём Иванович
Попов Даниил Михайлович,Улица Кравченко,16,94,1988,,,,,Иванов Даниил Олегович
Васильева София Николаевна,Улица Строителей,12,98,1956,,,,,Иванов Дмитрий Ярославович
Козлов Глеб Матвеевич,Нахимовский проспект,5,15,1983,,,,,Иванов Максим Тимофеевич
Соколова Полина Романовна,Улица Панфёрова,27,145,1960,,,,,Иванова Татьяна Юрьевна
Хохлов Александр Михайлович,Улица Крупской,11,68,1972,,,,,Исаев Илья Георгиевич
Жданов Кирилл Фёдорович,Улица Академика Пилюгина,15,49,1990,,,,,Калинин Даниил Артёмович
Степанов Дмитрий Александрович,Улица Архитектора Власова,22,107,1978,,,,,Карпов Александр Тимурович
Максимова Полина Кирилловна,Нахимовский проспект,16,27,1992,,,,,Карпов Григорий Иванович
Волков Кирилл Маркович,Улица Крупской,8,153,1970,,,,,Карпова Арина Григорьевна
Соколов Лев Владиславович,Улица Гарибальди,3,242,2005,,,,,Карташов Марк Владимирович
Захаров Илья Никитич,Улица Панфёрова,27,254,1977,,,,,Климова Екатерина Михайловна
Герасимов Андрей Матвеевич,Улица Гарибальди,26,32,1994,,,,,Кожевников Иван Евгеньевич
Васильев Михаил Константинович,Проспект Вернадского,2,14,2005,,,,,Козлов Роман Сергеевич
Алексеев Матвей Яковлевич,Улица Строителей,26,128,1991,,,,,Козлов Глеб Матвеевич
Дорофеева Анна Фёдоровна,Улица Панфёрова,22,234,1966,,,,,Козлов Иван Михайлович
Туманов Сергей Михайлович,Улица Крупской,20,138,1997,,,,,Козлова Виктория Дмитриевна
Серебрякова Полина Ярославовна,Нахимовский проспект,21,209,1950,,,,,Колесников Георгий Маркович
Полякова Мария Артёмовна,Улица Крупской,30,29,1955,,,,,Константинов Александр Юрьевич
Константинов Александр Юрьевич,Улица Архитектора Власова,13,167,1962,,,,,Копылов Григорий Платонович
Тихонов Константин Артёмович,Улица Архитектора Власова,1,92,1976,,,,,Коровина Екатерина Юрьевна
Овчинникова Ольга Ильинична,Улица Крупской,5,35,1963,,,,,Коротков Кирилл Мирославович
Новикова Кристина Васильевна,Улица Панфёрова,11,201,1985,,,,,Крючков Вячеслав Андреевич
Голиков Кирилл Маркович,Нахимовский проспект,28,84,1982,,,,,Кудрявцева Анна Тимофеевна
Тарасова Арина Глебовна,Улица Строителей,3,195,1965,,,,,Кукушкин Павел Львович
Левина Анна Александровна,Улица Строителей,30,91,1950,,,,,Куликов Ярослав Фёдорович
Баранова Алиса Ивановна,Улица Архитектора Власова,29,292,1996,,,,,Куликова Мария Никитична
Тарасова Арина Глебовна,Улица Крупской,24,51,1951,,,,,Лазарева Анна Григорьевна
Тихонов Константин Артёмович,Улица Панфёрова,2,298,1999,,,,,Ларина Александра Ярославовна
Баранова Алиса Ивановна,Улица Архитектора Власова,23,193,1952,,,,,Латышев Роман Михайлович
Егорова Надежда Дмитриевна,Улица Марии Ульяновой,19,99,1963,,,,,Лебедева Василиса Андреевна
Захаров Николай Александрович,Улица Марии Ульяновой,2,232,1998,,,,,Левин Максим Богданович
Чернышев Платон Артёмович,Проспект Вернадского,12,278,1954,,,,,Левин Сергей Ильич
Филиппова София Максимовна,Улица Крупской,17,104,1987,,,,,Левина Анна Александровна
Степанов Дмитрий Александрович,Проспект Вернадского,28,193,1963,,,,,Леонтьев Семён Иванович
Островский Макар Глебович,Улица Академика Пилюгина,10,158,1956,,,,,Литвинова Полина Лукинична
Новикова Елизавета Дмитриевна,Улица Гарибальди,27,232,1995,,,,,Максимова Полина Кирилловна
Новикова Кира Борисовна,Улица Крупской,30,84,1992,,,,,Максимова Анна Фёдоровна
Никонова София Константиновна,Улица Строителей,20,266,1994,,,,,Максимова Полина Максимовна
Петров Георгий Николаевич,Нахимовский проспект,29,48,1986,,,,,Максимова Алиса Ярославовна
Куликов Ярослав Фёдорович,Улица Академика Пилюгина,20,191,1952,,,,,Мартынов Даниил Демьянович
Левин Максим Богданович,Улица Панфёрова,25,106,1952,,,,,Матвеева Ева Андреевна
Дорофеев Никита Александрович,Улица Панфёрова,24,172,1979,,,,,Миронов Илья Мирославович
Полякова Мария Артёмовна,"Ленинский проспект
",13,11,1982,,,,,Миронов Иван Никитич
Балашова Анна Савельевна,Нахимовский проспект,5,252,1989,,,,,Михайлов Елисей Михайлович
Родионова Дарья Александровна,Улица Крупской,20,255,2004,,,,,Моисеева София Максимовна
Новикова Кристина Васильевна,Улица Академика Пилюгина,24,5,1960,,,,,Морозов Роман Артурович
Данилова Диана Тимуровна,Улица Академика Пилюгина,12,183,1954,,,,,Наумов Артём Константинович
Козлов Роман Сергеевич,Улица Академика Пилюгина,10,172,1983,,,,,Никитина Мария Руслановна
Жданова Ульяна Никитична,Улица Строителей,1,85,1981,,,,,Николаева Дарина Григорьевна
Левина Анна Александровна,Нахимовский проспект,15,141,1971,,,,,Николаева Валерия Владимировна
Никонова София Константиновна,Улица Архитектора Власова,29,223,1994,,,,,Никонова София Константиновна
Кукушкин Павел Львович,Нахимовский проспект,15,235,1961,,,,,Новиков Андрей Георгиевич
Васильев Кирилл Ильич,Улица Кравченко,10,197,1972,,,,,Новикова Кристина Васильевна
Смирнова Полина Максимовна,"Ленинский проспект
",9,292,1998,,,,,Новикова София Елисеевна
Терентьева Арина Марковна,Улица Кравченко,9,265,2005,,,,,Новикова Елизавета Дмитриевна
Герасимов Андрей Матвеевич,Улица Архитектора Власова,19,211,1971,,,,,Новикова Кира Борисовна
Суслов Демид Дмитриевич,Улица Вавилова,13,75,1959,,,,,Овчинникова Ольга Ильинична
Латышев Роман Михайлович,Нахимовский проспект,19,203,1979,,,,,Овчинникова Дарья Ильинична
Егоров Глеб Семёнович,Улица Академика Пилюгина,13,196,1971,,,,,Озеров Григорий Иванович
Козлов Роман Сергеевич,Улица Крупской,30,65,1985,,,,,Орлов Вадим Иванович
Глухова Полина Андреевна,Улица Строителей,21,128,2002,,,,,Орлов Игорь Александрович
Жданов Кирилл Фёдорович,Проспект Вернадского,5,191,1988,,,,,Орлов Георгий Иванович
Озеров Григорий Иванович,Улица Марии Ульяновой,21,219,1958,,,,,Орлова Алёна Романовна
Романова Вероника Николаевна,Улица Вавилова,1,57,2002,,,,,Осипов Александр Тимофеевич
Островский Макар Глебович,Улица Академика Пилюгина,7,72,1975,,,,,Осипов Вадим Борисович
Колесников Георгий Маркович,Улица Академика Пилюгина,3,168,1985,,,,,Островский Макар Глебович
Суслов Демид Дмитриевич,Улица Гарибальди,21,165,2001,,,,,Павлов Лев Александрович
Сергеев Михаил Станиславович,Улица Вавилова,19,75,1956,,,,,Павлов Евгений Кириллович
Плотников Елисей Ильич,Улица Строителей,2,33,1969,,,,,Павлов Кирилл Александрович
Алексеев Степан Семёнович,"Ленинский проспект
",24,272,1964,,,,,Панфилова Зоя Петровна
Новикова Елизавета Дмитриевна,Нахимовский проспект,4,213,1986,,,,,Пахомов Владислав Макарович
Смирнова Полина Максимовна,Улица Панфёрова,7,286,1991,,,,,Петров Георгий Николаевич
Максимова Полина Максимовна,Улица Академика Пилюгина,12,36,1952,,,,,Петрова Алиса Степановна
Белова Анастасия Ивановна,Улица Кравченко,9,184,1960,,,,,Петрова Таисия Артёмовна
Анохина Полина Кирилловна,Улица Академика Пилюгина,29,212,1963,,,,,Петровская Анастасия Макаровна
Тихомиров Герман Даниилович,Улица Вавилова,5,77,1990,,,,,Петровская Полина Максимовна
Николаева Валерия Владимировна,Улица Кравченко,26,17,1959,,,,,Платонова Алиса Степановна
Козлов Роман Сергеевич,Улица Марии Ульяновой,6,95,1979,,,,,Плотников Елисей Ильич
Петровская Анастасия Макаровна,Нахимовский проспект,17,297,1974,,,,,Полякова Мария Артёмовна
Шестаков Андрей Львович,Нахимовский проспект,25,68,1997,,,,,Пономарева Ирина Александровна
Данилова Диана Тимуровна,Улица Панфёрова,12,204,1958,,,,,Пономарева Мирослава Григорьевна
Исаев Илья Георгиевич,Улица Гарибальди,23,111,1978,,,,,Попов Леонид Макарович
Гордеева Диана Михайловна,Нахимовский проспект,28,66,1987,,,,,Попов Илья Матвеевич
Михайлов Елисей Михайлович,Улица Вавилова,10,122,2002,,,,,Попов Даниил Михайлович
Михайлов Елисей Михайлович,Улица Вавилова,30,102,1981,,,,,Прокофьев Дмитрий Родионович
Хохлов Александр Михайлович,Улица Марии Ульяновой,18,14,1980,,,,,Прохоров Андрей Арсеньевич
Горелов Владимир Дмитриевич,"Ленинский проспект
",19,282,1981,,,,,Родионова Дарья Александровна
Тихонова Василиса Фёдоровна,Улица Панфёрова,11,253,2001,,,,,Романов Сергей Михайлович
Миронов Иван Никитич,Нахимовский проспект,5,141,1952,,,,,Романова Вероника Николаевна
Гордеева Диана Михайловна,Улица Архитектора Власова,28,116,1988,,,,,Рыбаков Фёдор Дмитриевич
Филиппова Алиса Артёмовна,Улица Марии Ульяновой,8,265,1985,,,,,Сазонова Анастасия Александровна
Добрынин Дмитрий Тихонович,Улица Крупской,10,281,1969,,,,,Самсонова Милана Матвеевна
Тихонова Мария Фёдоровна,Проспект Вернадского,11,53,1964,,,,,Селиванова Елизавета Марковна
Кудрявцева Анна Тимофеевна,Улица Строителей,12,225,1991,,,,,Семенова Виктория Ивановна
Платонова Алиса Степановна,Нахимовский проспект,23,171,1992,,,,,Сергеев Гордей Ярославович
Попов Даниил Михайлович,Улица Гарибальди,18,68,2001,,,,,Сергеев Михаил Станиславович
Павлов Кирилл Александрович,Нахимовский проспект,29,193,2000,,,,,Серебрякова Полина Ярославовна
Фомин Артём Андреевич,Улица Крупской,18,243,1950,,,,,Серебрякова Дарья Георгиевна
Астахова София Ильинична,Улица Крупской,14,236,1983,,,,,Сидоров Матвей Даниилович
Захарова Дарина Ярославовна,Улица Вавилова,29,49,1955,,,,,Симонов Роман Андреевич
Терентьева Арина Марковна,Улица Кравченко,20,233,1959,,,,,Скворцов Максим Мирославович
Егоров Глеб Семёнович,Улица Академика Пилюгина,10,250,1962,,,,,Смирнова Полина Максимовна
Мартынов Даниил Демьянович,Улица Марии Ульяновой,1,51,1956,,,,,Снегирева Дарья Глебовна
Александрова Василиса Ивановна,Улица Академика Пилюгина,7,83,1965,,,,,Соколов Лев Владиславович
Константинов Александр Юрьевич,Улица Академика Пилюгина,5,46,1969,,,,,Соколов Михаил Романович
Кудрявцева Анна Тимофеевна,Улица Марии Ульяновой,24,110,1977,,,,,Соколова Василиса Александровна
Воронин Сергей Дмитриевич,Улица Кравченко,6,29,1960,,,,,Соколова Полина Романовна
Блохина Елизавета Ильинична,Улица Академика Пилюгина,12,195,2001,,,,,Соловьева Елизавета Ивановна
Самсонова Милана Матвеевна,Улица Гарибальди,17,12,1992,,,,,Соловьева София Константиновна
Смирнова Полина Максимовна,Улица Марии Ульяновой,2,39,1989,,,,,Степанов Дмитрий Александрович
Ежова Ксения Георгиевна,Улица Крупской,5,200,1965,,,,,Суворов Макар Александрович
Лебедева Василиса Андреевна,Улица Архитектора Власова,11,208,1961,,,,,Суслов Демид Дмитриевич
Андреева Ева Андреевна,Улица Гарибальди,14,280,1973,,,,,Тарасова Арина Глебовна
Панфилова Зоя Петровна,Улица Марии Ульяновой,4,222,1968,,,,,Терентьева Арина Марковна
Филимонова Анна Владимировна,Улица Вавилова,11,220,2004,,,,,Тихомиров Герман Даниилович
Денисов Илья Дмитриевич,"Ленинский проспект
",17,20,1971,,,,,Тихонов Константин Артёмович
Романов Сергей Михайлович,Улица Марии Ульяновой,21,280,1987,,,,,Тихонова Василиса Фёдоровна
Ларина Александра Ярославовна,"Ленинский проспект
",7,30,1964,,,,,Тихонова Мария Фёдоровна
Селиванова Елизавета Марковна,Улица Строителей,5,167,1972,,,,,Туманов Сергей Михайлович
Шишкин Константин Павлович,Улица Гарибальди,12,111,1954,,,,,Усова Алиса Николаевна
Снегирева Дарья Глебовна,Улица Академика Пилюгина,29,280,1954,,,,,Федотова Полина Максимовна
Андреева Ева Андреевна,Нахимовский проспект,8,212,1977,,,,,Филимонова Анна Владимировна
Воронина Полина Глебовна,Улица Крупской,16,244,1963,,,,,Филиппова Алиса Артёмовна
Дмитриев Ярослав Романович,Улица Строителей,6,191,2001,,,,,Филиппова София Максимовна
Орлов Игорь Александрович,Улица Академика Пилюгина,29,150,1954,,,,,Филиппова Надежда Ярославовна
Егорова Надежда Дмитриевна,Улица Строителей,5,292,1954,,,,,Фирсова Василиса Марковна
Соловьева София Константиновна,Улица Крупской,2,138,1976,,,,,Фомин Артём Андреевич
Овчинникова Ольга Ильинична,Улица Строителей,28,273,1981,,,,,Хохлов Александр Михайлович
Тарасова Арина Глебовна,Улица Вавилова,22,51,1963,,,,,Чернышев Платон Артёмович
Прохоров Андрей Арсеньевич,Улица Кравченко,25,141,1990,,,,,Шестаков Андрей Львович
Леонтьев Семён Иванович,Нахимовский проспект,17,40,1986,,,,,Шилова Алиса Ивановна
Егорова Надежда Дмитриевна,"Ленинский проспект
",6,80,1993,,,,,Шишкин Константин Павлович
Симонов Роман Андреевич,Улица Архитектора Власова,8,226,1978,,,,,Щеглова Мария Артёмовна
Степанов Дмитрий Александрович,Улица Архитектора Власова,22,158,1986,,,,,Яковлев Леонид Константинович
,,,,,,,,,Яковлева Полина Тимуровна
