ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Новикова София Елисеевна,Улица Кравченко,25,82,1984,,,,,Дорофеев Никита Александрович
Осипов Вадим Борисович,Улица Панфёрова,1,10,1985,,,,,Дорофеева Анна Фёдоровна
Ежова Ксения Георгиевна,Улица Панфёрова,23,145,1952,,,,,Дьякова Анастасия Александровна
Тихонова Василиса Фёдоровна,Проспект Вернадского,20,168,1965,,,,,Егоров Глеб Семёнович
Коротков Кирилл Мирославович,Улица Архитектора Власова,20,259,1978,,,,,Егорова Надежда Дмитриевна
Левин Максим Богданович,Улица Строителей,18,164,1976,,,,,Ежова Ксения Георгиевна
Петров Георгий Николаевич,Улица Гарибальди,28,250,1981,,,,,Елизарова Антонина Игоревна
Андреева Ева Андреевна,Улица Академика Пилюгина,1,176,1981,,,,,Ермакова Майя Никитична
Матвеева Ева Андреевна,Улица Марии Ульяновой,8,32,1995,,,,,Жданов Кирилл Фёдорович
Егоров Глеб Семёнович,Улица Академика Пилюгина,3,160,2004,,,,,Жданов Илья Михайлович
Филиппова София Максимовна,Улица Академика Пилюгина,9,248,1982,,,,,Жданова Ульяна Никитична
Кожевников Иван Евгеньевич,Улица Панфёрова,15,80,1979,,,,,Захаров Роман Денисович
Денисов Алексей Романович,Улица Кравченко,3,124,1952,,,,,Захаров Николай Александрович
Рыбаков Фёдор Дмитриевич,Ленинский проспект,14,168,1984,,,,,Захаров Илья Никитич
Захаров Роман Денисович,Улица Вавилова,26,203,1957,,,,,Захарова Дарина Ярославовна
Данилова Диана Тимуровна,Улица Строителей,9,57,1979,,,,,Зубков Алексей Арсеньевич
Елизарова Антонина Игоревна,Улица Архитектора Власова,27,297,1967,,,,,Иванов Артём Иванович
Степанов Дмитрий Александрович,Улица Строителей,15,242,1992,,,,,Иванов Даниил Олегович
Сергеев Михаил Станиславович,Улица Академика Пилюгина,22,157,1983,,,,,Иванов Дмитрий Ярославович
Левина Анна Александровна,Улица Гарибальди,2,273,1972,,,,,Иванов Максим Тимофеевич
Осипов Александр Тимофеевич,Улица Марии Ульяновой,6,3,1987,,,,,Иванова Татьяна Юрьевна
Воронина Полина Глебовна,Нахимовский проспект,29,65,2002,,,,,Исаев Илья Георгиевич
Овчинникова Дарья Ильинична,Ленинский проспект,2,271,1954,,,,,Калинин Даниил Артёмович
Карташов Марк Владимирович,Улица Марии Ульяновой,22,22,1992,,,,,Карпов Александр Тимурович
Соловьева София Константиновна,Улица Гарибальди,2,32,1984,,,,,Карпов Григорий Иванович
Давыдов Кирилл Янович,Нахимовский проспект,24,282,1967,,,,,Карпова Арина Григорьевна
Козлов Роман Сергеевич,Улица Вавилова,26,209,1988,,,,,Карташов Марк Владимирович
Грачев Платон Русланович,Улица Архитектора Власова,30,1,1980,,,,,Климова Екатерина Михайловна
Осипов Вадим Борисович,Проспект Вернадского,28,76,1958,,,,,Кожевников Иван Евгеньевич
Голиков Кирилл Маркович,Улица Вавилова,27,15,2000,,,,,Козлов Роман Сергеевич
Суворов Макар Александрович,Улица Кравченко,23,9,1964,,,,,Козлов Глеб Матвеевич
Миронов Иван Никитич,Улица Вавилова,23,4,1988,,,,,Козлов Иван Михайлович
Герасимов Андрей Матвеевич,Улица Крупской,15,269,1979,,,,,Козлова Виктория Дмитриевна
Новикова Кристина Васильевна,Улица Панфёрова,1,216,2000,,,,,Колесников Георгий Маркович
Кукушкин Павел Львович,Улица Архитектора Власова,6,3,1998,,,,,Константинов Александр Юрьевич
Соколов Лев Владиславович,Улица Кравченко,3,222,1960,,,,,Копылов Григорий Платонович
Александрова Василиса Ивановна,Улица Гарибальди,26,213,1951,,,,,Коровина Екатерина Юрьевна
Романова Вероника Николаевна,Улица Гарибальди,7,108,1995,,,,,Коротков Кирилл Мирославович
Павлов Евгений Кириллович,Улица Крупской,9,58,1969,,,,,Крючков Вячеслав Андреевич
Островский Макар Глебович,Проспект Вернадского,3,248,1984,,,,,Кудрявцева Анна Тимофеевна
Соколов Лев Владиславович,Ленинский проспект,28,274,2003,,,,,Кукушкин Павел Львович
Соколов Лев Владиславович,Улица Академика Пилюгина,5,223,1983,,,,,Куликов Ярослав Фёдорович
Козлов Иван Михайлович,Улица Кравченко,21,284,1974,,,,,Куликова Мария Никитична
Громова Кира Антоновна,Ленинский проспект,3,140,1974,,,,,Лазарева Анна Григорьевна
Дьякова Анастасия Александровна,Улица Архитектора Власова,6,134,1953,,,,,Ларина Александра Ярославовна
Орлова Алёна Романовна,Ленинский проспект,13,259,1983,,,,,Латышев Роман Михайлович
Шестаков Андрей Львович,Улица Кравченко,25,201,1950,,,,,Лебедева Василиса Андреевна
Попов Леонид Макарович,Улица Крупской,17,221,1979,,,,,Левин Максим Богданович
Данилова Диана Тимуровна,Улица Вавилова,21,209,2004,,,,,Левин Сергей Ильич
Жданова Ульяна Никитична,Улица Кравченко,11,297,1952,,,,,Левина Анна Александровна
Баранова Алиса Ивановна,Улица Архитектора Власова,16,278,1999,,,,,Леонтьев Семён Иванович
Филиппова Надежда Ярославовна,Улица Академика Пилюгина,2,51,1994,,,,,Литвинова Полина Лукинична
Ежова Ксения Георгиевна,Улица Панфёрова,1,173,1967,,,,,Максимова Полина Кирилловна
Коротков Кирилл Мирославович,Улица Строителей,28,145,1959,,,,,Максимова Анна Фёдоровна
Жданов Илья Михайлович,Улица Строителей,30,44,1991,,,,,Максимова Полина Максимовна
Яковлев Леонид Константинович,Улица Архитектора Власова,30,186,1995,,,,,Максимова Алиса Ярославовна
Дьякова Анастасия Александровна,Нахимовский проспект,26,4,1979,,,,,Мартынов Даниил Демьянович
Ежова Ксения Георгиевна,Нахимовский проспект,10,296,1961,,,,,Матвеева Ева Андреевна
Попов Илья Матвеевич,Улица Панфёрова,20,138,1950,,,,,Миронов Илья Мирославович
Соловьева Елизавета Ивановна,Нахимовский проспект,3,152,1965,,,,,Миронов Иван Никитич
Анохина Полина Кирилловна,Ленинский проспект,13,253,1986,,,,,Михайлов Елисей Михайлович
Никонова София Константиновна,Улица Крупской,12,290,1975,,,,,Моисеева София Максимовна
Латышев Роман Михайлович,Ленинский проспект,13,187,1993,,,,,Морозов Роман Артурович
Соколова Полина Романовна,Улица Академика Пилюгина,26,65,1994,,,,,Наумов Артём Константинович
Кукушкин Павел Львович,Улица Кравченко,5,29,1971,,,,,Никитина Мария Руслановна
Шишкин Константин Павлович,Улица Строителей,30,281,1966,,,,,Николаева Дарина Григорьевна
Коротков Кирилл Мирославович,Улица Панфёрова,21,234,1989,,,,,Николаева Валерия Владимировна
Кукушкин Павел Львович,Улица Строителей,30,4,1962,,,,,Никонова София Константиновна
Колесников Георгий Маркович,Нахимовский проспект,27,146,2004,,,,,Новиков Андрей Георгиевич
Козлов Роман Сергеевич,Улица Академика Пилюгина,29,133,1954,,,,,Новикова Кристина Васильевна
Овчинникова Дарья Ильинична,Улица Крупской,19,277,1975,,,,,Новикова София Елисеевна
Шестаков Андрей Львович,Проспект Вернадского,10,180,1960,,,,,Новикова Елизавета Дмитриевна
Романова Вероника Николаевна,Улица Панфёрова,18,216,1953,,,,,Новикова Кира Борисовна
Осипов Александр Тимофеевич,Улица Гарибальди,1,145,2001,,,,,Овчинникова Ольга Ильинична
Платонова Алиса Степановна,Улица Вавилова,18,174,2003,,,,,Овчинникова Дарья Ильинична
Максимова Полина Кирилловна,Улица Панфёрова,19,150,2004,,,,,Озеров Григорий Иванович
Филиппова София Максимовна,Улица Гарибальди,23,244,1992,,,,,Орлов Вадим Иванович
Сазонова Анастасия Александровна,Улица Кравченко,22,36,1983,,,,,Орлов Игорь Александрович
Жданова Ульяна Никитична,Улица Строителей,16,48,1950,,,,,Орлов Георгий Иванович
Романов Сергей Михайлович,Улица Крупской,3,159,1977,,,,,Орлова Алёна Романовна
Моисеева София Максимовна,Проспект Вернадского,3,76,2002,,,,,Осипов Александр Тимофеевич
Васильев Михаил Константинович,Улица Архитектора Власова,15,296,1975,,,,,Осипов Вадим Борисович
Ларина Александра Ярославовна,Нахимовский проспект,11,256,2005,,,,,Островский Макар Глебович
Алексеев Матвей Яковлевич,Улица Крупской,23,247,1993,,,,,Павлов Лев Александрович
Денисов Илья Дмитриевич,Проспект Вернадского,18,89,1963,,,,,Павлов Евгений Кириллович
Попов Илья Матвеевич,Улица Гарибальди,2,206,1982,,,,,Павлов Кирилл Александрович
Селиванова Елизавета Марковна,Улица Академика Пилюгина,2,217,1978,,,,,Панфилова Зоя Петровна
Белова София Львовна,Улица Архитектора Власова,1,153,1971,,,,,Пахомов Владислав Макарович
Алексеев Матвей Яковлевич,Улица Архитектора Власова,3,7,1995,,,,,Петров Георгий Николаевич
Новикова Кира Борисовна,Улица Архитектора Власова,24,142,1961,,,,,Петрова Алиса Степановна
Орлова Алёна Романовна,Улица Гарибальди,19,280,1991,,,,,Петрова Таисия Артёмовна
Карташов Марк Владимирович,Улица Академика Пилюгина,11,141,1981,,,,,Петровская Анастасия Макаровна
Белова Анастасия Ивановна,Улица Архитектора Власова,1,44,1989,,,,,Петровская Полина Максимовна
Константинов Александр Юрьевич,Улица Крупской,13,40,1999,,,,,Платонова Алиса Степановна
Елизарова Антонина Игоревна,Улица Вавилова,6,152,1976,,,,,Плотников Елисей Ильич
Алексеев Матвей Яковлевич,Улица Вавилова,24,181,1962,,,,,Полякова Мария Артёмовна
Анохина Полина Кирилловна,Улица Архитектора Власова,19,195,1974,,,,,Пономарева Ирина Александровна
Белова Анастасия Ивановна,Улица Архитектора Власова,15,191,1981,,,,,Пономарева Мирослава Григорьевна
Новикова Кристина Васильевна,Улица Панфёрова,28,69,2004,,,,,Попов Леонид Макарович
Петров Георгий Николаевич,Улица Марии Ульяновой,11,214,1992,,,,,Попов Илья Матвеевич
Симонов Роман Андреевич,Улица Вавилова,11,174,1982,,,,,Попов Даниил Михайлович
Карпова Арина Григорьевна,Улица Марии Ульяновой,4,32,1957,,,,,Прокофьев Дмитрий Родионович
Александрова Василиса Ивановна,Улица Академика Пилюгина,6,163,1988,,,,,Прохоров Андрей Арсеньевич
Серебрякова Полина Ярославовна,Улица Крупской,10,115,1976,,,,,Родионова Дарья Александровна
Голиков Лев Никитич,Улица Строителей,15,43,2005,,,,,Романов Сергей Михайлович
Леонтьев Семён Иванович,Улица Марии Ульяновой,5,162,1986,,,,,Романова Вероника Николаевна
Романова Вероника Николаевна,Улица Строителей,30,86,1997,,,,,Рыбаков Фёдор Дмитриевич
Соколов Лев Владиславович,Ленинский проспект,25,72,2001,,,,,Сазонова Анастасия Александровна
Герасимов Андрей Матвеевич,Улица Академика Пилюгина,25,96,1964,,,,,Самсонова Милана Матвеевна
Леонтьев Семён Иванович,Улица Гарибальди,15,284,1954,,,,,Селиванова Елизавета Марковна
Абрамова Кристина Андреевна,Улица Архитектора Власова,19,70,1985,,,,,Семенова Виктория Ивановна
Осипов Александр Тимофеевич,Улица Кравченко,23,168,1983,,,,,Сергеев Гордей Ярославович
Андреева Ева Андреевна,Улица Кравченко,10,287,1980,,,,,Сергеев Михаил Станиславович
Соколов Лев Владиславович,Улица Крупской,6,274,1995,,,,,Серебрякова Полина Ярославовна
Романов Сергей Михайлович,Улица Академика Пилюгина,25,32,1976,,,,,Серебрякова Дарья Георгиевна
Максимова Полина Кирилловна,Улица Строителей,21,149,2005,,,,,Сидоров Матвей Даниилович
Никонова София Константиновна,Ленинский проспект,12,2,2001,,,,,Симонов Роман Андреевич
Моисеева София Максимовна,Улица Крупской,7,6,1966,,,,,Скворцов Максим Мирославович
Семенова Виктория Ивановна,Ленинский проспект,23,240,1960,,,,,Смирнова Полина Максимовна
Орлов Вадим Иванович,Улица Панфёрова,14,42,1992,,,,,Снегирева Дарья Глебовна
Павлов Кирилл Александрович,Ленинский проспект,20,87,1983,,,,,Соколов Лев Владиславович
Тихонова Мария Фёдоровна,Нахимовский проспект,7,66,1954,,,,,Соколов Михаил Романович
Щеглова Мария Артёмовна,Улица Панфёрова,30,278,1962,,,,,Соколова Василиса Александровна
Гордеева Диана Михайловна,Улица Крупской,17,53,1985,,,,,Соколова Полина Романовна
Левин Максим Богданович,Улица Вавилова,19,171,1991,,,,,Соловьева Елизавета Ивановна
Захаров Роман Денисович,Улица Академика Пилюгина,11,29,1983,,,,,Соловьева София Константиновна
Голиков Лев Никитич,Улица Марии Ульяновой,18,226,1955,,,,,Степанов Дмитрий Александрович
Васильева София Марковна,Улица Кравченко,10,60,1967,,,,,Суворов Макар Александрович
Колесников Георгий Маркович,Улица Кравченко,28,95,1995,,,,,Суслов Демид Дмитриевич
Анохина Полина Кирилловна,Ленинский проспект,13,245,1978,,,,,Тарасова Арина Глебовна
Михайлов Елисей Михайлович,Улица Строителей,15,254,1970,,,,,Терентьева Арина Марковна
Богданов Владимир Маркович,Улица Вавилова,18,183,1982,,,,,Тихомиров Герман Даниилович
Филиппова Алиса Артёмовна,Улица Архитектора Власова,22,227,1963,,,,,Тихонов Константин Артёмович
Селиванова Елизавета Марковна,Улица Крупской,5,223,2001,,,,,Тихонова Василиса Фёдоровна
Балашова Анна Савельевна,Улица Марии Ульяновой,2,107,1974,,,,,Тихонова Мария Фёдоровна
Новикова Елизавета Дмитриевна,Улица Архитектора Власова,28,180,1995,,,,,Туманов Сергей Михайлович
Колесников Георгий Маркович,Нахимовский проспект,2,43,1955,,,,,Усова Алиса Николаевна
Герасимов Андрей Матвеевич,Нахимовский проспект,14,277,2001,,,,,Федотова Полина Максимовна
Филимонова Анна Владимировна,Улица Вавилова,6,9,1977,,,,,Филимонова Анна Владимировна
Моисеева София Максимовна,Улица Кравченко,28,283,1967,,,,,Филиппова Алиса Артёмовна
Захаров Николай Александрович,Улица Кравченко,3,92,1986,,,,,Филиппова София Максимовна
Денисов Алексей Романович,Улица Кравченко,11,21,1993,,,,,Филиппова Надежда Ярославовна
Тихомиров Герман Даниилович,Улица Вавилова,7,151,1969,,,,,Фирсова Василиса Марковна
Голиков Кирилл Маркович,Улица Гарибальди,24,58,1973,,,,,Фомин Артём Андреевич
Родионова Дарья Александровна,Улица Гарибальди,15,190,1992,,,,,Хохлов Александр Михайлович
Жданова Ульяна Никитична,Проспект Вернадского,1,79,1977,,,,,Чернышев Платон Артёмович
Скворцов Максим Мирославович,Улица Архитектора Власова,29,99,1950,,,,,Шестаков Андрей Львович
Плотников Елисей Ильич,Улица Гарибальди,8,110,1971,,,,,Шилова Алиса Ивановна
Романова Вероника Николаевна,Улица Вавилова,23,164,1993,,,,,Шишкин Константин Павлович
Козлов Роман Сергеевич,Улица Строителей,20,90,1968,,,,,Щеглова Мария Артёмовна
Жданова Ульяна Никитична,Улица Панфёрова,11,134,1969,,,,,Яковлев Леонид Константинович
Чернышев Платон Артёмович,Улица Панфёрова,3,133,1979,,,,,Яковлева Полина Тимуровна
Астахова Виктория Васильевна,Улица Гарибальди,8,155,1984,,,,,
Тихонова Мария Фёдоровна,Проспект Вернадского,26,155,1964,,,,,
Филиппова Алиса Артёмовна,Улица Строителей,4,179,1964,,,,,
Николаева Дарина Григорьевна,Улица Академика Пилюгина,9,250,2003,,,,,
Пономарева Ирина Александровна,Улица Академика Пилюгина,16,106,1965,,,,,
Павлов Евгений Кириллович,Улица Вавилова,6,289,1990,,,,,
Никитина Мария Руслановна,Ленинский проспект,6,73,1967,,,,,
Пономарева Мирослава Григорьевна,Ленинский проспект,8,124,1958,,,,,
Овчинникова Ольга Ильинична,Улица Панфёрова,18,79,1994,,,,,
Андреева Ева Андреевна,Улица Вавилова,1,299,1975,,,,,
Петрова Алиса Степановна,Ленинский проспект,25,14,1967,,,,,
Шестаков Андрей Львович,Нахимовский проспект,29,290,1998,,,,,
Максимова Анна Фёдоровна,Улица Гарибальди,29,219,1994,,,,,
Волков Кирилл Маркович,Улица Марии Ульяновой,8,215,1967,,,,,
Осипов Вадим Борисович,Улица Гарибальди,27,293,1996,,,,,
Дорофеев Никита Александрович,Улица Академика Пилюгина,15,175,1971,,,,,
Соколов Лев Владиславович,Улица Марии Ульяновой,27,227,1956,,,,,
Соколов Михаил Романович,Улица Гарибальди,6,56,1956,,,,,
Карпова Арина Григорьевна,Улица Архитектора Власова,7,109,1971,,,,,
Васильева Вероника Мироновна,Улица Гарибальди,11,40,1995,,,,,
Селиванова Елизавета Марковна,Проспект Вернадского,11,157,1951,,,,,
Добрынин Дмитрий Тихонович,Улица Панфёрова,3,18,1997,,,,,
Николаева Валерия Владимировна,Улица Гарибальди,16,297,1972,,,,,
Сазонова Анастасия Александровна,Улица Панфёрова,15,292,2003,,,,,
Лебедева Василиса Андреевна,Улица Вавилова,23,212,1955,,,,,
Козлова Виктория Дмитриевна,Улица Панфёрова,4,5,1990,,,,,
Семенова Виктория Ивановна,Улица Марии Ульяновой,28,146,1981,,,,,
Денисов Илья Дмитриевич,Улица Кравченко,1,257,1987,,,,,
Смирнова Полина Максимовна,Улица Строителей,5,289,2001,,,,,
Соколов Лев Владиславович,Улица Строителей,25,141,1999,,,,,
Васильев Михаил Константинович,Улица Вавилова,16,227,2000,,,,,
Зубков Алексей Арсеньевич,Улица Строителей,8,141,1998,,,,,
Литвинова Полина Лукинична,Улица Кравченко,3,96,1996,,,,,
Леонтьев Семён Иванович,Улица Крупской,23,14,1971,,,,,
Семенова Виктория Ивановна,Улица Панфёрова,26,76,1961,,,,,
Плотников Елисей Ильич,Улица Марии Ульяновой,8,18,1963,,,,,
Жданов Кирилл Фёдорович,Нахимовский проспект,23,13,1980,,,,,
Баранова Василиса Александровна,Улица Гарибальди,29,221,1991,,,,,
Петровская Полина Максимовна,Улица Панфёрова,19,41,1963,,,,,
Куликов Ярослав Фёдорович,Улица Архитектора Власова,1,126,1960,,,,,
Гришина Кира Артемьевна,Проспект Вернадского,10,218,1971,,,,,
Самсонова Милана Матвеевна,Улица Строителей,25,288,1954,,,,,
Шилова Алиса Ивановна,Улица Архитектора Власова,14,85,2004,,,,,
Павлов Лев Александрович,Улица Панфёрова,8,255,1973,,,,,
Данилова Диана Тимуровна,Нахимовский проспект,23,297,2003,,,,,
Тихонова Василиса Фёдоровна,Улица Вавилова,24,151,2003,,,,,
Матвеева Ева Андреевна,Улица Академика Пилюгина,6,29,1997,,,,,
Волков Кирилл Маркович,Нахимовский проспект,4,244,1950,,,,,
Овчинникова Дарья Ильинична,Улица Гарибальди,12,25,1989,,,,,
Шестаков Андрей Львович,Проспект Вернадского,8,287,1951,,,,,
Новикова Кристина Васильевна,Улица Вавилова,2,257,1995,,,,,
Алексеев Степан Семёнович,Улица Кравченко,29,219,1959,,,,,
Пахомов Владислав Макарович,Нахимовский проспект,15,83,1987,,,,,
Литвинова Полина Лукинична,Ленинский проспект,18,78,1951,,,,,
Карпова Арина Григорьевна,Нахимовский проспект,24,53,2002,,,,,
Сидоров Матвей Даниилович,Нахимовский проспект,17,190,1997,,,,,
Васильев Михаил Константинович,Улица Панфёрова,10,138,1990,,,,,
Исаев Илья Георгиевич,Улица Архитектора Власова,28,2,2001,,,,,
Кудрявцева Анна Тимофеевна,Улица Панфёрова,22,187,1950,,,,,
Суворов Макар Александрович,Улица Вавилова,22,172,1971,,,,,
Суслов Демид Дмитриевич,Улица Марии Ульяновой,29,288,1967,,,,,
Сазонова Анастасия Александровна,Улица Марии Ульяновой,25,117,1998,,,,,
Родионова Дарья Александровна,Улица Гарибальди,27,87,1954,,,,,
Карпова Арина Григорьевна,Улица Гарибальди,5,73,1954,,,,,
Гордеева Диана Михайловна,Ленинский проспект,2,253,1972,,,,,
Белова Анастасия Ивановна,Улица Марии Ульяновой,27,26,2003,,,,,
Елизарова Антонина Игоревна,Улица Строителей,3,122,1964,,,,,
Антонов Артём Платонович,Проспект Вернадского,25,203,1980,,,,,
Семенова Виктория Ивановна,Ленинский проспект,17,89,1966,,,,,
Полякова Мария Артёмовна,Улица Вавилова,11,275,1968,,,,,
Карпов Александр Тимурович,Улица Гарибальди,9,177,1955,,,,,
Балашова Анна Савельевна,Улица Марии Ульяновой,13,254,1955,,,,,
Ларина Александра Ярославовна,Нахимовский проспект,25,281,1953,,,,,
Дорофеев Никита Александрович,Улица Кравченко,24,224,1976,,,,,
Фирсова Василиса Марковна,Улица Гарибальди,13,131,1969,,,,,
Иванов Артём Иванович,Ленинский проспект,23,211,1963,,,,,
Рыбаков Фёдор Дмитриевич,Улица Архитектора Власова,20,264,2004,,,,,
Куликова Мария Никитична,Улица Архитектора Власова,13,28,1981,,,,,
Петрова Таисия Артёмовна,Улица Панфёрова,15,159,2005,,,,,
Матвеева Ева Андреевна,Улица Кравченко,14,115,1972,,,,,
Овчинникова Ольга Ильинична,Улица Панфёрова,6,157,2001,,,,,
Голиков Лев Никитич,Улица Панфёрова,27,223,1956,,,,,
Исаев Илья Георгиевич,Улица Гарибальди,23,238,1993,,,,,
Мартынов Даниил Демьянович,Улица Панфёрова,1,130,1960,,,,,
Новиков Андрей Георгиевич,Улица Строителей,12,242,1987,,,,,
Тихонов Константин Артёмович,Улица Кравченко,6,6,1963,,,,,
Островский Макар Глебович,Улица Архитектора Власова,17,111,1966,,,,,
Ежова Ксения Георгиевна,Улица Академика Пилюгина,14,123,1995,,,,,
Павлов Лев Александрович,Проспект Вернадского,6,181,2000,,,,,
Скворцов Максим Мирославович,Улица Панфёрова,27,163,1972,,,,,
Соколов Михаил Романович,Улица Архитектора Власова,11,257,1992,,,,,
Васильев Кирилл Ильич,Улица Академика Пилюгина,7,152,1998,,,,,
Симонов Роман Андреевич,Улица Архитектора Власова,8,179,1951,,,,,
Серебрякова Дарья Георгиевна,Улица Гарибальди,26,254,1997,,,,,
Колесников Георгий Маркович,Улица Академика Пилюгина,3,206,1981,,,,,
Дьякова Анастасия Александровна,Улица Марии Ульяновой,24,257,1970,,,,,
Семенова Виктория Ивановна,Проспект Вернадского,27,180,2005,,,,,
Иванов Дмитрий Ярославович,Улица Кравченко,6,271,1967,,,,,
Тихонова Мария Фёдоровна,Улица Строителей,20,26,1950,,,,,
Серебрякова Дарья Георгиевна,Улица Кравченко,5,200,1997,,,,,
Орлов Георгий Иванович,Нахимовский проспект,26,257,1952,,,,,
Ермакова Майя Никитична,Улица Вавилова,12,92,1980,,,,,
Орлов Вадим Иванович,Проспект Вернадского,3,212,1965,,,,,
Петров Георгий Николаевич,Улица Кравченко,23,200,1995,,,,,
Скворцов Максим Мирославович,Ленинский проспект,29,84,1993,,,,,
Максимова Алиса Ярославовна,Улица Строителей,29,267,1973,,,,,
Шестаков Андрей Львович,Улица Гарибальди,28,129,1979,,,,,
Селиванова Елизавета Марковна,Улица Крупской,14,52,1958,,,,,
Елизарова Антонина Игоревна,Проспект Вернадского,17,275,1986,,,,,
Беляева Ева Данииловна,Улица Крупской,2,192,1965,,,,,
Богданов Владимир Маркович,Ленинский проспект,3,147,2002,,,,,
Яковлев Леонид Константинович,Улица Кравченко,8,216,1978,,,,,
