ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Овчинникова Ольга Ильинична,Улица Академика Пилюгина,23,86,1982,,,,,Карпова Арина Григорьевна
Горелов Владимир Дмитриевич,Улица Гарибальди,2,68,1956,,,,,Карташов Марк Владимирович
Соколов Лев Владиславович,Улица Марии Ульяновой,2,175,1991,,,,,Климова Екатерина Михайловна
Латышев Роман Михайлович,Улица Крупской,18,227,1963,,,,,Кожевников Иван Евгеньевич
Егорова Надежда Дмитриевна,Улица Гарибальди,1,65,1952,,,,,Козлов Роман Сергеевич
Максимова Алиса Ярославовна,Улица Кравченко,2,104,1971,,,,,Козлов Глеб Матвеевич
Захаров Илья Никитич,Улица Гарибальди,2,248,1999,,,,,Козлов Иван Михайлович
Егорова Надежда Дмитриевна,Улица Строителей,10,134,1981,,,,,Козлова Виктория Дмитриевна
Соловьева София Константиновна,Нахимовский проспект,26,29,1995,,,,,Колесников Георгий Маркович
Васильева София Николаевна,Улица Крупской,4,194,1998,,,,,Константинов Александр Юрьевич
Коротков Кирилл Мирославович,Улица Академика Пилюгина,24,27,1985,,,,,Копылов Григорий Платонович
Пахомов Владислав Макарович,Улица Вавилова,9,129,1984,,,,,Коровина Екатерина Юрьевна
Никонова София Константиновна,Улица Крупской,21,102,1973,,,,,Коротков Кирилл Мирославович
Герасимов Артур Денисович,Улица Кравченко,25,162,1958,,,,,Крючков Вячеслав Андреевич
Тихонова Мария Фёдоровна,Улица Архитектора Власова,27,204,1961,,,,,Кудрявцева Анна Тимофеевна
Серебрякова Дарья Георгиевна,Улица Гарибальди,22,141,1976,,,,,Кукушкин Павел Львович
Васильева София Николаевна,Улица Кравченко,18,95,1991,,,,,Куликов Ярослав Фёдорович
Баранова Алиса Ивановна,Ленинский проспект,21,85,1985,,,,,Куликова Мария Никитична
Миронов Илья Мирославович,Улица Строителей,5,24,1976,,,,,Лазарева Анна Григорьевна
Новиков Андрей Георгиевич,Нахимовский проспект,16,231,1980,,,,,Ларина Александра Ярославовна
Гришина Кира Артемьевна,Ленинский проспект,23,177,2000,,,,,Латышев Роман Михайлович
Сидоров Матвей Даниилович,Улица Гарибальди,26,48,1962,,,,,Лебедева Василиса Андреевна
Романова Вероника Николаевна,Улица Архитектора Власова,2,283,1979,,,,,Левин Максим Богданович
Козлова Виктория Дмитриевна,Проспект Вернадского,4,298,2000,,,,,Левин Сергей Ильич
Терентьева Арина Марковна,Улица Строителей,18,25,1962,,,,,Левина Анна Александровна
Мартынов Даниил Демьянович,Улица Архитектора Власова,3,250,1953,,,,,Леонтьев Семён Иванович
Соколов Лев Владиславович,Улица Крупской,27,293,2002,,,,,Литвинова Полина Лукинична
Егорова Надежда Дмитриевна,Ленинский проспект,30,283,1957,,,,,Максимова Полина Кирилловна
Осипов Александр Тимофеевич,Улица Архитектора Власова,13,103,1999,,,,,Максимова Анна Фёдоровна
Гришина Кира Артемьевна,Улица Гарибальди,30,149,1964,,,,,Максимова Полина Максимовна
Самсонова Милана Матвеевна,Улица Гарибальди,8,240,1988,,,,,Максимова Алиса Ярославовна
Скворцов Максим Мирославович,Улица Марии Ульяновой,11,281,1979,,,,,Мартынов Даниил Демьянович
Козлов Роман Сергеевич,Улица Строителей,3,79,1957,,,,,Матвеева Ева Андреевна
Константинов Александр Юрьевич,Улица Архитектора Власова,4,165,1956,,,,,Миронов Илья Мирославович
Усова Алиса Николаевна,Улица Кравченко,13,275,1959,,,,,Миронов Иван Никитич
Пономарева Ирина Александровна,Улица Крупской,4,192,1964,,,,,Михайлов Елисей Михайлович
Блохина Елизавета Ильинична,Улица Крупской,5,262,1956,,,,,Моисеева София Максимовна
Сидоров Матвей Даниилович,Улица Гарибальди,30,290,1963,,,,,Морозов Роман Артурович
Баранова Василиса Александровна,Улица Академика Пилюгина,25,192,1953,,,,,Наумов Артём Константинович
Богданов Владимир Маркович,Улица Гарибальди,20,136,1984,,,,,Никитина Мария Руслановна
Кудрявцева Анна Тимофеевна,Улица Вавилова,10,16,1950,,,,,Николаева Дарина Григорьевна
Иванов Дмитрий Ярославович,Улица Кравченко,26,44,1995,,,,,Николаева Валерия Владимировна
Антонов Артём Платонович,Улица Гарибальди,28,254,1967,,,,,Никонова София Константиновна
Герасимов Андрей Матвеевич,Улица Панфёрова,19,240,1986,,,,,Новиков Андрей Георгиевич
Максимова Полина Максимовна,Улица Марии Ульяновой,13,100,1996,,,,,Новикова Кристина Васильевна
Иванов Даниил Олегович,Улица Строителей,23,8,1995,,,,,Новикова София Елисеевна
Павлов Лев Александрович,Улица Архитектора Власова,16,60,1950,,,,,Новикова Елизавета Дмитриевна
Анохина Полина Кирилловна,Улица Вавилова,10,167,1998,,,,,Новикова Кира Борисовна
Филиппова София Максимовна,Улица Вавилова,13,58,1976,,,,,Овчинникова Ольга Ильинична
Сидоров Матвей Даниилович,Проспект Вернадского,9,123,1974,,,,,Овчинникова Дарья Ильинична
Денисов Илья Дмитриевич,Улица Марии Ульяновой,9,214,1982,,,,,Озеров Григорий Иванович
Михайлов Елисей Михайлович,Улица Гарибальди,27,207,1955,,,,,Орлов Вадим Иванович
Белова Анастасия Ивановна,Улица Кравченко,3,229,1960,,,,,Орлов Игорь Александрович
Козлов Иван Михайлович,Нахимовский проспект,20,30,1968,,,,,Орлов Георгий Иванович
Левина Анна Александровна,Нахимовский проспект,8,39,1953,,,,,Орлова Алёна Романовна
Пономарева Ирина Александровна,Проспект Вернадского,6,200,1984,,,,,Осипов Александр Тимофеевич
Щеглова Мария Артёмовна,Улица Крупской,26,15,1998,,,,,Осипов Вадим Борисович
Захаров Роман Денисович,Улица Панфёрова,10,26,1972,,,,,Островский Макар Глебович
Платонова Алиса Степановна,Улица Крупской,4,20,1967,,,,,Павлов Лев Александрович
Елизарова Антонина Игоревна,Улица Кравченко,15,145,2004,,,,,Павлов Евгений Кириллович
Анохина Полина Кирилловна,Проспект Вернадского,21,117,1988,,,,,Павлов Кирилл Александрович
Тихомиров Герман Даниилович,Улица Строителей,28,63,1965,,,,,Панфилова Зоя Петровна
Смирнова Полина Максимовна,Улица Кравченко,20,152,1993,,,,,Пахомов Владислав Макарович
Серебрякова Дарья Георгиевна,Улица Академика Пилюгина,27,109,1955,,,,,Петров Георгий Николаевич
Матвеева Ева Андреевна,Улица Архитектора Власова,8,28,1987,,,,,Петрова Алиса Степановна
Максимова Анна Фёдоровна,Улица Строителей,29,16,1988,,,,,Петрова Таисия Артёмовна
Шишкин Константин Павлович,Улица Кравченко,10,192,1974,,,,,Петровская Анастасия Макаровна
Попов Леонид Макарович,Ленинский проспект,25,257,2001,,,,,Петровская Полина Максимовна
Грачев Платон Русланович,Улица Гарибальди,17,280,1965,,,,,Платонова Алиса Степановна
Козлов Глеб Матвеевич,Нахимовский проспект,11,130,1955,,,,,Плотников Елисей Ильич
Новиков Андрей Георгиевич,Улица Вавилова,29,283,1984,,,,,Полякова Мария Артёмовна
Левин Сергей Ильич,Улица Панфёрова,20,296,1990,,,,,Пономарева Ирина Александровна
Никонова София Константиновна,Улица Академика Пилюгина,18,138,1980,,,,,Пономарева Мирослава Григорьевна
Новикова Кристина Васильевна,Нахимовский проспект,25,257,2004,,,,,Попов Леонид Макарович
Фомин Артём Андреевич,Нахимовский проспект,4,212,1991,,,,,Попов Илья Матвеевич
Баранова Алиса Ивановна,Улица Гарибальди,8,87,2000,,,,,Попов Даниил Михайлович
Сазонова Анастасия Александровна,Нахимовский проспект,27,222,1953,,,,,Прокофьев Дмитрий Родионович
Герасимов Артур Денисович,Улица Строителей,11,118,1964,,,,,Прохоров Андрей Арсеньевич
Баранова Майя Михайловна,Улица Марии Ульяновой,24,70,1972,,,,,Родионова Дарья Александровна
Михайлов Елисей Михайлович,Улица Гарибальди,6,278,1977,,,,,Романов Сергей Михайлович
Блохина Елизавета Ильинична,Улица Кравченко,25,212,2005,,,,,Романова Вероника Николаевна
Данилова Диана Тимуровна,Улица Академика Пилюгина,9,16,1974,,,,,Рыбаков Фёдор Дмитриевич
Васильева Вероника Мироновна,Улица Строителей,10,99,1970,,,,,Сазонова Анастасия Александровна
Левина Анна Александровна,Ленинский проспект,20,31,2000,,,,,Самсонова Милана Матвеевна
Новикова София Елисеевна,Улица Крупской,25,268,1999,,,,,Селиванова Елизавета Марковна
Зубков Алексей Арсеньевич,Улица Вавилова,24,112,1966,,,,,Семенова Виктория Ивановна
Денисов Алексей Романович,Улица Кравченко,22,224,1955,,,,,Сергеев Гордей Ярославович
Давыдов Кирилл Янович,Улица Строителей,28,197,2003,,,,,Сергеев Михаил Станиславович
Беляева Ева Данииловна,Улица Марии Ульяновой,15,270,1963,,,,,Серебрякова Полина Ярославовна
Карпова Арина Григорьевна,Ленинский проспект,25,17,1950,,,,,Серебрякова Дарья Георгиевна
Орлова Алёна Романовна,Улица Архитектора Власова,25,225,1996,,,,,Сидоров Матвей Даниилович
Шилова Алиса Ивановна,Ленинский проспект,12,115,1992,,,,,Симонов Роман Андреевич
Герасимов Андрей Матвеевич,Улица Академика Пилюгина,6,214,1965,,,,,Скворцов Максим Мирославович
Попов Леонид Макарович,Улица Архитектора Власова,20,251,1957,,,,,Смирнова Полина Максимовна
Левина Анна Александровна,Ленинский проспект,20,297,1998,,,,,Снегирева Дарья Глебовна
Карпова Арина Григорьевна,Улица Строителей,14,282,1989,,,,,Соколов Лев Владиславович
Новикова Кира Борисовна,Нахимовский проспект,17,185,1986,,,,,Соколов Михаил Романович
Осипов Вадим Борисович,Улица Академика Пилюгина,5,90,1984,,,,,Соколова Василиса Александровна
Петрова Таисия Артёмовна,Проспект Вернадского,23,166,1971,,,,,Соколова Полина Романовна
Васильева София Марковна,Нахимовский проспект,15,93,2000,,,,,Соловьева Елизавета Ивановна
Сергеев Гордей Ярославович,Улица Академика Пилюгина,27,55,1970,,,,,Соловьева София Константиновна
Сазонова Анастасия Александровна,Улица Марии Ульяновой,27,101,1996,,,,,Степанов Дмитрий Александрович
Максимова Полина Кирилловна,Улица Архитектора Власова,12,15,2002,,,,,Суворов Макар Александрович
Иванов Дмитрий Ярославович,Улица Вавилова,12,217,1994,,,,,Суслов Демид Дмитриевич
Никонова София Константиновна,Улица Кравченко,2,177,1988,,,,,Тарасова Арина Глебовна
Дьякова Анастасия Александровна,Проспект Вернадского,25,2,1982,,,,,Терентьева Арина Марковна
Пахомов Владислав Макарович,Проспект Вернадского,11,111,1965,,,,,Тихомиров Герман Даниилович
Коровина Екатерина Юрьевна,Улица Гарибальди,28,182,1971,,,,,Тихонов Константин Артёмович
Павлов Лев Александрович,Улица Академика Пилюгина,14,92,2004,,,,,Тихонова Василиса Фёдоровна
Васильева София Марковна,Улица Кравченко,3,51,1984,,,,,Тихонова Мария Фёдоровна
Орлова Алёна Романовна,Улица Вавилова,29,249,1974,,,,,Туманов Сергей Михайлович
Михайлов Елисей Михайлович,Улица Кравченко,5,186,1999,,,,,Усова Алиса Николаевна
Тарасова Арина Глебовна,Улица Вавилова,4,1,1981,,,,,Федотова Полина Максимовна
Алексеев Матвей Яковлевич,Улица Крупской,18,250,1967,,,,,Филимонова Анна Владимировна
Тихомиров Герман Даниилович,Улица Вавилова,23,62,1986,,,,,Филиппова Алиса Артёмовна
Константинов Александр Юрьевич,Ленинский проспект,26,22,1953,,,,,Филиппова София Максимовна
Андреева Ева Андреевна,Нахимовский проспект,23,122,1988,,,,,Филиппова Надежда Ярославовна
Герасимов Артур Денисович,Ленинский проспект,8,78,2000,,,,,Фирсова Василиса Марковна
Абрамова Кристина Андреевна,Улица Строителей,18,97,1974,,,,,Фомин Артём Андреевич
Орлов Георгий Иванович,Улица Крупской,12,17,1958,,,,,Хохлов Александр Михайлович
Тихомиров Герман Даниилович,Улица Гарибальди,28,204,1985,,,,,Чернышев Платон Артёмович
Белова Анастасия Ивановна,Ленинский проспект,10,58,1997,,,,,Шестаков Андрей Львович
Усова Алиса Николаевна,Улица Кравченко,7,220,1989,,,,,Шилова Алиса Ивановна
Лебедева Василиса Андреевна,Улица Академика Пилюгина,28,130,1998,,,,,Шишкин Константин Павлович
Овчинникова Дарья Ильинична,Ленинский проспект,18,250,1952,,,,,Щеглова Мария Артёмовна
Пахомов Владислав Макарович,Улица Крупской,15,21,1981,,,,,Яковлев Леонид Константинович
Волков Кирилл Маркович,Улица Строителей,17,82,1996,,,,,Яковлева Полина Тимуровна
Самсонова Милана Матвеевна,Улица Вавилова,17,131,1987,,,,,
Исаев Илья Георгиевич,Улица Гарибальди,20,203,1984,,,,,
Давыдов Кирилл Янович,Проспект Вернадского,11,11,1952,,,,,
Соколова Полина Романовна,Улица Вавилова,14,19,1989,,,,,
Фомин Артём Андреевич,Улица Крупской,27,290,1992,,,,,
Максимова Полина Кирилловна,Улица Вавилова,25,193,1991,,,,,
Шилова Алиса Ивановна,Улица Кравченко,7,180,1989,,,,,
Шишкин Константин Павлович,Улица Панфёрова,22,11,1979,,,,,
Карпов Александр Тимурович,Улица Вавилова,18,274,1981,,,,,
Лебедева Василиса Андреевна,Улица Вавилова,21,15,1950,,,,,
Озеров Григорий Иванович,Улица Гарибальди,18,106,1964,,,,,
Шилова Алиса Ивановна,Улица Кравченко,29,255,1999,,,,,
Голиков Лев Никитич,Улица Марии Ульяновой,15,192,1981,,,,,
Баранова Алиса Ивановна,Нахимовский проспект,8,54,1982,,,,,
Левин Сергей Ильич,Улица Архитектора Власова,17,212,1990,,,,,
Латышев Роман Михайлович,Улица Крупской,11,141,1979,,,,,
Гордеева Диана Михайловна,Улица Строителей,9,192,1981,,,,,
Платонова Алиса Степановна,Улица Вавилова,21,236,1952,,,,,
Астахова София Ильинична,Нахимовский проспект,30,219,1950,,,,,
Панфилова Зоя Петровна,Улица Вавилова,26,243,2003,,,,,
Карпов Григорий Иванович,Улица Марии Ульяновой,3,220,1999,,,,,
Чернышев Платон Артёмович,Улица Архитектора Власова,6,200,2001,,,,,
Леонтьев Семён Иванович,Улица Вавилова,30,101,1966,,,,,
Филиппова София Максимовна,Улица Панфёрова,24,33,1981,,,,,
Ананьев Алексей Семёнович,Проспект Вернадского,12,168,2004,,,,,
Жданов Илья Михайлович,Нахимовский проспект,27,35,1982,,,,,
Коровина Екатерина Юрьевна,Улица Вавилова,20,204,2002,,,,,
Моисеева София Максимовна,Улица Вавилова,13,277,1976,,,,,
Озеров Григорий Иванович,Ленинский проспект,15,45,1996,,,,,
Васильева София Николаевна,Проспект Вернадского,23,48,1961,,,,,
Самсонова Милана Матвеевна,Улица Гарибальди,6,126,1992,,,,,
Козлова Виктория Дмитриевна,Улица Крупской,8,16,1972,,,,,
Богданов Владимир Маркович,Проспект Вернадского,20,38,1965,,,,,
Никитина Мария Руслановна,Улица Академика Пилюгина,2,239,1967,,,,,
Белова Анастасия Ивановна,Улица Архитектора Власова,7,187,1995,,,,,
Герасимов Артур Денисович,Проспект Вернадского,2,270,1986,,,,,
Лебедева Василиса Андреевна,Улица Академика Пилюгина,7,275,1960,,,,,
Васильев Михаил Константинович,Улица Строителей,2,166,1973,,,,,
Андреева Ева Андреевна,Улица Архитектора Власова,20,143,2001,,,,,
Алексеев Степан Семёнович,Ленинский проспект,13,75,1954,,,,,
Овчинникова Ольга Ильинична,Улица Гарибальди,11,149,1987,,,,,
Абрамова Кристина Андреевна,Улица Кравченко,8,13,1968,,,,,
Самсонова Милана Матвеевна,Улица Гарибальди,10,200,1997,,,,,
Рыбаков Фёдор Дмитриевич,Улица Крупской,26,233,1982,,,,,
Максимова Полина Максимовна,Проспект Вернадского,23,175,1961,,,,,
Максимова Алиса Ярославовна,Улица Вавилова,6,136,1968,,,,,
Карташов Марк Владимирович,Улица Вавилова,28,58,1959,,,,,
Никитина Мария Руслановна,Улица Архитектора Власова,16,36,1980,,,,,
Петровская Полина Максимовна,Улица Марии Ульяновой,6,32,1977,,,,,
Балашова Анна Савельевна,Улица Крупской,16,44,1957,,,,,
Орлов Георгий Иванович,Улица Академика Пилюгина,10,196,1958,,,,,
Филиппова Надежда Ярославовна,Проспект Вернадского,28,191,1956,,,,,
Иванов Даниил Олегович,Проспект Вернадского,25,139,1965,,,,,
Дорофеева Анна Фёдоровна,Ленинский проспект,1,29,1988,,,,,
Михайлов Елисей Михайлович,Улица Строителей,2,171,1984,,,,,
Рыбаков Фёдор Дмитриевич,Улица Кравченко,1,217,1987,,,,,
Коровина Екатерина Юрьевна,Улица Академика Пилюгина,10,208,2005,,,,,
Козлов Иван Михайлович,Улица Крупской,24,4,1959,,,,,
Суворов Макар Александрович,Улица Архитектора Власова,7,19,1961,,,,,
Васильев Кирилл Ильич,Улица Гарибальди,20,241,1986,,,,,
Новикова Кира Борисовна,Улица Кравченко,27,1,1960,,,,,
Новикова Кристина Васильевна,Улица Строителей,26,198,1950,,,,,
Константинов Александр Юрьевич,Улица Панфёрова,23,100,1980,,,,,
Новикова София Елисеевна,Ленинский проспект,16,268,1973,,,,,
Козлов Глеб Матвеевич,Проспект Вернадского,23,28,1974,,,,,
Егорова Надежда Дмитриевна,Улица Кравченко,19,47,2005,,,,,
Давыдов Кирилл Янович,Улица Марии Ульяновой,5,215,2004,,,,,
Давыдов Кирилл Янович,Проспект Вернадского,8,29,1982,,,,,
Денисов Илья Дмитриевич,Улица Марии Ульяновой,24,212,1979,,,,,
Сидоров Матвей Даниилович,Улица Марии Ульяновой,14,182,1979,,,,,
Соколова Василиса Александровна,Улица Марии Ульяновой,18,219,1967,,,,,
Филиппова София Максимовна,Нахимовский проспект,27,11,1987,,,,,
Исаев Илья Георгиевич,Улица Академика Пилюгина,1,136,2005,,,,,
Сергеев Михаил Станиславович,Улица Вавилова,7,265,1971,,,,,
Романов Сергей Михайлович,Улица Гарибальди,24,142,1978,,,,,
Глухова Полина Андреевна,Нахимовский проспект,22,277,1968,,,,,
Морозов Роман Артурович,Улица Архитектора Власова,24,99,1977,,,,,
Константинов Александр Юрьевич,Улица Крупской,3,284,1975,,,,,
Егорова Надежда Дмитриевна,Улица Академика Пилюгина,23,282,1987,,,,,
Левина Анна Александровна,Улица Вавилова,18,164,1957,,,,,
Суворов Макар Александрович,Улица Академика Пилюгина,14,208,1951,,,,,
Самсонова Милана Матвеевна,Улица Архитектора Власова,29,194,1995,,,,,
Егоров Глеб Семёнович,Улица Архитектора Власова,2,75,1985,,,,,
Родионова Дарья Александровна,Улица Строителей,13,90,1955,,,,,
Лебедева Василиса Андреевна,Улица Строителей,13,107,1977,,,,,
Егорова Надежда Дмитриевна,Ленинский проспект,26,160,1977,,,,,
Голиков Лев Никитич,Улица Гарибальди,28,195,2005,,,,,
Кукушкин Павел Львович,Нахимовский проспект,11,3,1956,,,,,
Симонов Роман Андреевич,Улица Крупской,4,87,2004,,,,,
Хохлов Александр Михайлович,Улица Архитектора Власова,17,265,1981,,,,,
Сергеев Гордей Ярославович,Ленинский проспект,12,29,1998,,,,,
Баранова Виктория Максимовна,Улица Марии Ульяновой,22,35,1986,,,,,
Пахомов Владислав Макарович,Улица Кравченко,18,288,1996,,,,,
Левин Максим Богданович,Проспект Вернадского,26,235,1969,,,,,
Романова Вероника Николаевна,Ленинский проспект,10,182,2003,,,,,
Литвинова Полина Лукинична,Улица Крупской,13,199,1962,,,,,
Ежова Ксения Георгиевна,Улица Гарибальди,1,226,1990,,,,,
Алексеев Матвей Яковлевич,Нахимовский проспект,19,235,1954,,,,,
Исаев Илья Георгиевич,Улица Академика Пилюгина,19,64,1979,,,,,
Сергеев Михаил Станиславович,Улица Панфёрова,11,59,1955,,,,,
Иванов Максим Тимофеевич,Улица Архитектора Власова,27,268,1981,,,,,
Овчинникова Дарья Ильинична,Улица Архитектора Власова,11,133,1998,,,,,
Захаров Роман Денисович,Улица Крупской,22,38,1980,,,,,
Иванов Артём Иванович,Улица Строителей,7,232,1970,,,,,
Васильева София Николаевна,Улица Кравченко,17,121,1956,,,,,
Соколов Лев Владиславович,Улица Кравченко,19,227,1964,,,,,
Соколов Лев Владиславович,Улица Панфёрова,15,16,1952,,,,,
Снегирева Дарья Глебовна,Улица Архитектора Власова,22,293,1953,,,,,
Голиков Лев Никитич,Улица Строителей,11,28,1968,,,,,
Крючков Вячеслав Андреевич,Улица Гарибальди,8,84,1990,,,,,
Моисеева София Максимовна,Улица Панфёрова,30,269,1989,,,,,
Добрынин Дмитрий Тихонович,Улица Вавилова,22,267,1968,,,,,
Орлов Георгий Иванович,Нахимовский проспект,13,81,1952,,,,,
