ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Васильева София Николаевна,Улица Гарибальди,21,211,1962,,,,,Калинин Даниил Артёмович
Миронов Илья Мирославович,Проспект Вернадского,20,164,1997,,,,,Карпов Александр Тимурович
Белов Максим Демидович,Нахимовский проспект,21,214,1967,,,,,Карпов Григорий Иванович
Левин Сергей Ильич,Улица Панфёрова,22,118,1978,,,,,Карпова Арина Григорьевна
Орлов Вадим Иванович,Нахимовский проспект,28,206,1976,,,,,Карташов Марк Владимирович
Филиппова София Максимовна,Улица Архитектора Власова,9,160,1971,,,,,Климова Екатерина Михайловна
Куликова Мария Никитична,Ленинский проспект,29,104,2002,,,,,Кожевников Иван Евгеньевич
Жданов Кирилл Фёдорович,Улица Кравченко,26,244,1956,,,,,Козлов Роман Сергеевич
Левин Максим Богданович,Улица Панфёрова,24,215,1992,,,,,Козлов Глеб Матвеевич
Романова Вероника Николаевна,Улица Вавилова,29,38,1982,,,,,Козлов Иван Михайлович
Ежова Ксения Георгиевна,Улица Архитектора Власова,22,109,1975,,,,,Козлова Виктория Дмитриевна
Воронина Полина Глебовна,Улица Гарибальди,16,209,1952,,,,,Колесников Георгий Маркович
Алешина Кристина Евгеньевна,Улица Крупской,25,211,1952,,,,,Константинов Александр Юрьевич
Федотова Полина Максимовна,Ленинский проспект,26,263,1995,,,,,Копылов Григорий Платонович
Захаров Роман Денисович,Улица Академика Пилюгина,6,129,1988,,,,,Коровина Екатерина Юрьевна
Филиппова София Максимовна,Улица Вавилова,26,276,2001,,,,,Коротков Кирилл Мирославович
Попов Илья Матвеевич,Улица Панфёрова,6,218,1975,,,,,Крючков Вячеслав Андреевич
Никитина Мария Руслановна,Улица Крупской,15,80,1968,,,,,Кудрявцева Анна Тимофеевна
Филиппова Надежда Ярославовна,Улица Крупской,24,201,1951,,,,,Кукушкин Павел Львович
Орлов Игорь Александрович,Улица Академика Пилюгина,17,298,1984,,,,,Куликов Ярослав Фёдорович
Дьякова Анастасия Александровна,Улица Марии Ульяновой,27,39,1960,,,,,Куликова Мария Никитична
Попов Даниил Михайлович,Ленинский проспект,17,263,1956,,,,,Лазарева Анна Григорьевна
Новикова Кристина Васильевна,Улица Марии Ульяновой,11,95,1965,,,,,Ларина Александра Ярославовна
Петрова Алиса Степановна,Проспект Вернадского,25,22,1964,,,,,Латышев Роман Михайлович
Ежова Ксения Георгиевна,Улица Академика Пилюгина,2,59,1978,,,,,Лебедева Василиса Андреевна
Тихонова Василиса Фёдоровна,Улица Архитектора Власова,10,277,1951,,,,,Левин Максим Богданович
Абрамова Кристина Андреевна,Улица Марии Ульяновой,28,108,1976,,,,,Левин Сергей Ильич
Осипов Вадим Борисович,Улица Строителей,22,60,1965,,,,,Левина Анна Александровна
Жданов Илья Михайлович,Улица Архитектора Власова,25,274,1972,,,,,Леонтьев Семён Иванович
Васильева София Марковна,Улица Архитектора Власова,24,59,1954,,,,,Литвинова Полина Лукинична
Блохина Елизавета Ильинична,Улица Крупской,2,168,1990,,,,,Максимова Полина Кирилловна
Кожевников Иван Евгеньевич,Улица Строителей,10,125,1993,,,,,Максимова Анна Фёдоровна
Литвинова Полина Лукинична,Улица Панфёрова,18,120,1963,,,,,Максимова Полина Максимовна
Петров Георгий Николаевич,Нахимовский проспект,5,177,1958,,,,,Максимова Алиса Ярославовна
Кудрявцева Анна Тимофеевна,Проспект Вернадского,18,124,1976,,,,,Мартынов Даниил Демьянович
Воронин Сергей Дмитриевич,Ленинский проспект,23,289,1953,,,,,Матвеева Ева Андреевна
Литвинова Полина Лукинична,Улица Архитектора Власова,29,4,2004,,,,,Миронов Илья Мирославович
Жданова Ульяна Никитична,Ленинский проспект,4,97,1954,,,,,Миронов Иван Никитич
Сергеев Гордей Ярославович,Улица Гарибальди,1,222,1991,,,,,Михайлов Елисей Михайлович
Усова Алиса Николаевна,Улица Крупской,10,68,1977,,,,,Моисеева София Максимовна
Литвинова Полина Лукинична,Улица Крупской,13,36,1983,,,,,Морозов Роман Артурович
Новиков Андрей Георгиевич,Улица Строителей,15,140,1999,,,,,Наумов Артём Константинович
Белова Анастасия Ивановна,Улица Кравченко,27,127,1995,,,,,Никитина Мария Руслановна
Родионова Дарья Александровна,Улица Марии Ульяновой,18,264,1992,,,,,Николаева Дарина Григорьевна
Астахова Виктория Васильевна,Улица Строителей,2,217,2003,,,,,Николаева Валерия Владимировна
Александрова Василиса Ивановна,Улица Кравченко,20,172,1956,,,,,Никонова София Константиновна
Прокофьев Дмитрий Родионович,Улица Панфёрова,30,257,1988,,,,,Новиков Андрей Георгиевич
Григорьев Пётр Александрович,Ленинский проспект,19,166,1954,,,,,Новикова Кристина Васильевна
Усова Алиса Николаевна,Нахимовский проспект,9,297,2000,,,,,Новикова София Елисеевна
Кудрявцева Анна Тимофеевна,Улица Строителей,25,22,1997,,,,,Новикова Елизавета Дмитриевна
Усова Алиса Николаевна,Улица Марии Ульяновой,22,109,1959,,,,,Новикова Кира Борисовна
Самсонова Милана Матвеевна,Проспект Вернадского,9,116,1973,,,,,Овчинникова Ольга Ильинична
Васильев Михаил Константинович,Нахимовский проспект,20,194,1950,,,,,Овчинникова Дарья Ильинична
Жданов Кирилл Фёдорович,Ленинский проспект,2,160,1951,,,,,Озеров Григорий Иванович
Карташов Марк Владимирович,Улица Академика Пилюгина,19,155,2001,,,,,Орлов Вадим Иванович
Васильев Кирилл Ильич,Улица Крупской,2,19,2005,,,,,Орлов Игорь Александрович
Волков Кирилл Маркович,Улица Крупской,10,272,1977,,,,,Орлов Георгий Иванович
Никонова София Константиновна,Улица Строителей,12,33,1981,,,,,Орлова Алёна Романовна
Баранова Виктория Максимовна,Улица Академика Пилюгина,18,294,1956,,,,,Осипов Александр Тимофеевич
Богданов Владимир Маркович,Проспект Вернадского,29,68,1950,,,,,Осипов Вадим Борисович
Климова Екатерина Михайловна,Улица Кравченко,4,133,1973,,,,,Островский Макар Глебович
Алешина Кристина Евгеньевна,Улица Вавилова,28,83,1972,,,,,Павлов Лев Александрович
Орлов Георгий Иванович,Нахимовский проспект,3,265,1969,,,,,Павлов Евгений Кириллович
Филиппова Надежда Ярославовна,Улица Гарибальди,2,221,1957,,,,,Павлов Кирилл Александрович
Максимова Полина Максимовна,Проспект Вернадского,19,56,1961,,,,,Панфилова Зоя Петровна
Крючков Вячеслав Андреевич,Улица Крупской,5,125,1956,,,,,Пахомов Владислав Макарович
Шилова Алиса Ивановна,Ленинский проспект,23,84,1965,,,,,Петров Георгий Николаевич
Алексеев Матвей Яковлевич,Улица Панфёрова,10,257,1963,,,,,Петрова Алиса Степановна
Коротков Кирилл Мирославович,Проспект Вернадского,29,194,1952,,,,,Петрова Таисия Артёмовна
Зубков Алексей Арсеньевич,Улица Кравченко,2,276,1966,,,,,Петровская Анастасия Макаровна
Данилова Диана Тимуровна,Улица Академика Пилюгина,4,125,1979,,,,,Петровская Полина Максимовна
Кудрявцева Анна Тимофеевна,Улица Панфёрова,2,100,1991,,,,,Платонова Алиса Степановна
Васильева София Николаевна,Улица Вавилова,23,118,2001,,,,,Плотников Елисей Ильич
Николаева Валерия Владимировна,Улица Академика Пилюгина,28,100,1984,,,,,Полякова Мария Артёмовна
Воронина Полина Глебовна,Улица Панфёрова,25,265,1975,,,,,Пономарева Ирина Александровна
Баранова Майя Михайловна,Улица Вавилова,11,75,1956,,,,,Пономарева Мирослава Григорьевна
Щеглова Мария Артёмовна,Улица Марии Ульяновой,23,17,1973,,,,,Попов Леонид Макарович
Копылов Григорий Платонович,Улица Вавилова,12,112,1959,,,,,Попов Илья Матвеевич
Соколов Лев Владиславович,Улица Панфёрова,1,241,1957,,,,,Попов Даниил Михайлович
Копылов Григорий Платонович,Ленинский проспект,8,222,1989,,,,,Прокофьев Дмитрий Родионович
Леонтьев Семён Иванович,Улица Архитектора Власова,5,9,1957,,,,,Прохоров Андрей Арсеньевич
Сергеев Михаил Станиславович,Улица Гарибальди,5,262,1974,,,,,Родионова Дарья Александровна
Козлов Глеб Матвеевич,Улица Вавилова,16,58,2002,,,,,Романов Сергей Михайлович
Добрынин Дмитрий Тихонович,Улица Строителей,12,267,1995,,,,,Романова Вероника Николаевна
Андреева Ева Андреевна,Улица Марии Ульяновой,14,164,1991,,,,,Рыбаков Фёдор Дмитриевич
Карташов Марк Владимирович,Улица Вавилова,14,104,1979,,,,,Сазонова Анастасия Александровна
Денисов Илья Дмитриевич,Улица Панфёрова,10,212,1964,,,,,Самсонова Милана Матвеевна
Филиппова Надежда Ярославовна,Нахимовский проспект,27,188,1985,,,,,Селиванова Елизавета Марковна
Ананьев Алексей Семёнович,Проспект Вернадского,1,141,2001,,,,,Семенова Виктория Ивановна
Антонов Артём Платонович,Улица Академика Пилюгина,19,114,1973,,,,,Сергеев Гордей Ярославович
Озеров Григорий Иванович,Улица Кравченко,12,200,1973,,,,,Сергеев Михаил Станиславович
Белова София Львовна,Нахимовский проспект,2,299,1958,,,,,Серебрякова Полина Ярославовна
Жданов Илья Михайлович,Ленинский проспект,13,103,1966,,,,,Серебрякова Дарья Георгиевна
Усова Алиса Николаевна,Улица Кравченко,24,287,1951,,,,,Сидоров Матвей Даниилович
Ермакова Майя Никитична,Улица Архитектора Власова,24,50,2002,,,,,Симонов Роман Андреевич
Дмитриев Ярослав Романович,Улица Академика Пилюгина,16,8,1976,,,,,Скворцов Максим Мирославович
Григорьев Пётр Александрович,Улица Гарибальди,2,266,1976,,,,,Смирнова Полина Максимовна
Васильев Михаил Константинович,Проспект Вернадского,20,220,1969,,,,,Снегирева Дарья Глебовна
Николаева Дарина Григорьевна,Улица Крупской,12,187,1974,,,,,Соколов Лев Владиславович
Прокофьев Дмитрий Родионович,Улица Вавилова,1,61,1986,,,,,Соколов Михаил Романович
Петровская Анастасия Макаровна,Улица Архитектора Власова,12,8,1976,,,,,Соколова Василиса Александровна
Жданов Илья Михайлович,Улица Вавилова,2,152,1954,,,,,Соколова Полина Романовна
Платонова Алиса Степановна,Ленинский проспект,7,227,1953,,,,,Соловьева Елизавета Ивановна
Петровская Анастасия Макаровна,Улица Архитектора Власова,11,230,1956,,,,,Соловьева София Константиновна
Родионова Дарья Александровна,Улица Панфёрова,14,1,1998,,,,,Степанов Дмитрий Александрович
Пономарева Мирослава Григорьевна,Проспект Вернадского,13,55,1989,,,,,Суворов Макар Александрович
Фирсова Василиса Марковна,Улица Кравченко,15,115,1950,,,,,Суслов Демид Дмитриевич
Суслов Демид Дмитриевич,Улица Архитектора Власова,9,69,1992,,,,,Тарасова Арина Глебовна
Селиванова Елизавета Марковна,Ленинский проспект,22,262,1984,,,,,Терентьева Арина Марковна
Павлов Лев Александрович,Улица Марии Ульяновой,2,88,1974,,,,,Тихомиров Герман Даниилович
Александрова Василиса Ивановна,Улица Строителей,6,278,1972,,,,,Тихонов Константин Артёмович
Васильева Вероника Мироновна,Ленинский проспект,22,252,1985,,,,,Тихонова Василиса Фёдоровна
Миронов Иван Никитич,Улица Марии Ульяновой,5,284,1954,,,,,Тихонова Мария Фёдоровна
Васильева София Николаевна,Улица Гарибальди,22,107,1953,,,,,Туманов Сергей Михайлович
Филиппова Надежда Ярославовна,Улица Строителей,8,199,1992,,,,,Усова Алиса Николаевна
Тихонова Василиса Фёдоровна,Ленинский проспект,30,109,2002,,,,,Федотова Полина Максимовна
Андреева Ева Андреевна,Ленинский проспект,9,87,1962,,,,,Филимонова Анна Владимировна
Сазонова Анастасия Александровна,Ленинский проспект,4,143,1955,,,,,Филиппова Алиса Артёмовна
Колесников Георгий Маркович,Улица Академика Пилюгина,12,17,1970,,,,,Филиппова София Максимовна
Петровская Полина Максимовна,Улица Архитектора Власова,20,57,1956,,,,,Филиппова Надежда Ярославовна
Литвинова Полина Лукинична,Улица Марии Ульяновой,21,157,1968,,,,,Фирсова Василиса Марковна
Иванов Артём Иванович,Улица Гарибальди,17,35,1999,,,,,Фомин Артём Андреевич
Баранова Виктория Максимовна,Проспект Вернадского,22,162,1965,,,,,Хохлов Александр Михайлович
Голиков Кирилл Маркович,Улица Гарибальди,4,200,1990,,,,,Чернышев Платон Артёмович
Орлов Игорь Александрович,Улица Крупской,17,121,1959,,,,,Шестаков Андрей Львович
Соколов Лев Владиславович,Проспект Вернадского,10,123,1969,,,,,Шилова Алиса Ивановна
Максимова Анна Фёдоровна,Улица Марии Ульяновой,25,46,1989,,,,,Шишкин Константин Павлович
Егорова Надежда Дмитриевна,Проспект Вернадского,19,146,1998,,,,,Щеглова Мария Артёмовна
Волков Кирилл Маркович,Ленинский проспект,16,214,1952,,,,,Яковлев Леонид Константинович
Туманов Сергей Михайлович,Улица Панфёрова,22,68,1994,,,,,Яковлева Полина Тимуровна
Романов Сергей Михайлович,Улица Академика Пилюгина,21,115,1995,,,,,
Фомин Артём Андреевич,Улица Кравченко,17,89,1992,,,,,
Карташов Марк Владимирович,Улица Архитектора Власова,12,32,1962,,,,,
Левина Анна Александровна,Улица Крупской,10,283,1959,,,,,
Леонтьев Семён Иванович,Нахимовский проспект,9,76,1986,,,,,
Егорова Надежда Дмитриевна,Нахимовский проспект,10,243,1994,,,,,
Моисеева София Максимовна,Улица Академика Пилюгина,26,52,1964,,,,,
Родионова Дарья Александровна,Ленинский проспект,15,8,1954,,,,,
Жданов Кирилл Фёдорович,Проспект Вернадского,27,180,2003,,,,,
Захаров Роман Денисович,Улица Кравченко,14,111,1988,,,,,
Латышев Роман Михайлович,Улица Вавилова,15,44,1991,,,,,
Сергеев Гордей Ярославович,Улица Марии Ульяновой,13,178,1961,,,,,
Воронина Полина Глебовна,Улица Вавилова,10,284,1988,,,,,
Васильева София Марковна,Улица Академика Пилюгина,29,122,1961,,,,,
Максимова Полина Максимовна,Улица Кравченко,25,15,1966,,,,,
Астахова София Ильинична,Улица Архитектора Власова,21,179,1972,,,,,
Прокофьев Дмитрий Родионович,Проспект Вернадского,14,19,2005,,,,,
Власова Алина Андреевна,Улица Гарибальди,25,50,1954,,,,,
Копылов Григорий Платонович,Улица Вавилова,16,292,1980,,,,,
Леонтьев Семён Иванович,Улица Крупской,12,185,1988,,,,,
Горелов Владимир Дмитриевич,Улица Архитектора Власова,22,175,1955,,,,,
Белов Максим Демидович,Улица Кравченко,29,261,1961,,,,,
Наумов Артём Константинович,Улица Крупской,26,131,1992,,,,,
Панфилова Зоя Петровна,Улица Крупской,26,24,1999,,,,,
Кожевников Иван Евгеньевич,Улица Строителей,9,173,1984,,,,,
Иванов Дмитрий Ярославович,Нахимовский проспект,19,220,2002,,,,,
Ларина Александра Ярославовна,Улица Академика Пилюгина,26,146,1965,,,,,
Пахомов Владислав Макарович,Улица Строителей,15,99,1976,,,,,
Литвинова Полина Лукинична,Проспект Вернадского,23,19,1968,,,,,
Михайлов Елисей Михайлович,Улица Марии Ульяновой,22,132,1974,,,,,
Тихонов Константин Артёмович,Ленинский проспект,24,64,1969,,,,,
Тарасова Арина Глебовна,Улица Гарибальди,24,49,1996,,,,,
Захаров Илья Никитич,Улица Академика Пилюгина,17,230,1988,,,,,
Константинов Александр Юрьевич,Улица Архитектора Власова,6,27,1990,,,,,
Блохина Елизавета Ильинична,Улица Кравченко,25,281,1978,,,,,
Усова Алиса Николаевна,Улица Панфёрова,1,90,1995,,,,,
Кожевников Иван Евгеньевич,Нахимовский проспект,5,92,1973,,,,,
Прохоров Андрей Арсеньевич,Нахимовский проспект,28,82,2005,,,,,
Николаева Валерия Владимировна,Проспект Вернадского,22,40,1960,,,,,
Лебедева Василиса Андреевна,Улица Марии Ульяновой,22,267,1954,,,,,
Левин Максим Богданович,Улица Вавилова,18,62,2000,,,,,
Голиков Кирилл Маркович,Проспект Вернадского,8,179,1968,,,,,
Петров Георгий Николаевич,Улица Кравченко,26,158,2001,,,,,
Литвинова Полина Лукинична,Улица Вавилова,25,46,1981,,,,,
Тихонов Константин Артёмович,Нахимовский проспект,8,227,2005,,,,,
Данилова Диана Тимуровна,Улица Строителей,10,258,1978,,,,,
Дмитриев Ярослав Романович,Улица Панфёрова,20,126,1970,,,,,
Белова Анастасия Ивановна,Улица Марии Ульяновой,14,86,1986,,,,,
Николаева Дарина Григорьевна,Улица Панфёрова,13,220,1995,,,,,
Максимова Анна Фёдоровна,Улица Строителей,8,76,1951,,,,,
Грачев Платон Русланович,Проспект Вернадского,4,166,2000,,,,,
Алешина Кристина Евгеньевна,Улица Вавилова,21,49,1955,,,,,
Снегирева Дарья Глебовна,Улица Гарибальди,2,171,2002,,,,,
Антонов Артём Платонович,Улица Кравченко,10,282,1953,,,,,
Левин Максим Богданович,Проспект Вернадского,21,54,1950,,,,,
Новикова Кристина Васильевна,Улица Строителей,20,144,1999,,,,,
Туманов Сергей Михайлович,Улица Архитектора Власова,11,59,1965,,,,,
Астахова Виктория Васильевна,Улица Академика Пилюгина,20,283,1953,,,,,
Миронов Иван Никитич,Улица Гарибальди,17,23,1974,,,,,
Тихомиров Герман Даниилович,Ленинский проспект,26,277,2001,,,,,
Филимонова Анна Владимировна,Проспект Вернадского,28,91,1981,,,,,
Козлов Глеб Матвеевич,Ленинский проспект,24,190,1960,,,,,
Орлова Алёна Романовна,Ленинский проспект,29,133,1965,,,,,
Дорофеев Никита Александрович,Улица Архитектора Власова,15,87,1986,,,,,
Соловьева Елизавета Ивановна,Улица Марии Ульяновой,19,38,1973,,,,,
Моисеева София Максимовна,Проспект Вернадского,12,261,1974,,,,,
Герасимов Андрей Матвеевич,Улица Архитектора Власова,2,149,1961,,,,,
Егоров Глеб Семёнович,Улица Архитектора Власова,4,197,1993,,,,,
Коротков Кирилл Мирославович,Улица Марии Ульяновой,5,74,1992,,,,,
Максимова Алиса Ярославовна,Улица Панфёрова,13,179,1954,,,,,
Захаров Илья Никитич,Улица Крупской,6,187,1993,,,,,
Иванов Максим Тимофеевич,Нахимовский проспект,29,150,1960,,,,,
Шилова Алиса Ивановна,Улица Панфёрова,12,21,1998,,,,,
Абрамова Кристина Андреевна,Улица Архитектора Власова,13,225,2004,,,,,
Осипов Вадим Борисович,Ленинский проспект,27,154,1973,,,,,
Дорофеев Никита Александрович,Проспект Вернадского,15,14,1999,,,,,
Антонов Артём Платонович,Улица Вавилова,28,230,1980,,,,,
Васильев Михаил Константинович,Улица Кравченко,5,125,2003,,,,,
Глухова Полина Андреевна,Улица Гарибальди,26,211,1975,,,,,
Михайлов Елисей Михайлович,Нахимовский проспект,24,78,1975,,,,,
Голиков Кирилл Маркович,Улица Академика Пилюгина,28,174,1973,,,,,
Шишкин Константин Павлович,Улица Вавилова,24,149,1997,,,,,
Пономарева Мирослава Григорьевна,Улица Кравченко,18,94,1980,,,,,
Фомин Артём Андреевич,Нахимовский проспект,5,189,1985,,,,,
Тихомиров Герман Даниилович,Улица Гарибальди,28,69,1956,,,,,
Андреева Ева Андреевна,Проспект Вернадского,4,179,1957,,,,,
Степанов Дмитрий Александрович,Улица Академика Пилюгина,14,134,1950,,,,,
Хохлов Александр Михайлович,Нахимовский проспект,4,89,1968,,,,,
Орлова Алёна Романовна,Ленинский проспект,7,24,1997,,,,,
Сергеев Гордей Ярославович,Нахимовский проспект,18,127,1968,,,,,
Самсонова Милана Матвеевна,Нахимовский проспект,10,12,2004,,,,,
Козлов Глеб Матвеевич,Улица Архитектора Власова,11,31,1980,,,,,
Белова София Львовна,Улица Кравченко,1,134,1958,,,,,
Максимова Полина Максимовна,Ленинский проспект,16,239,1958,,,,,
Алексеев Степан Семёнович,Улица Гарибальди,1,123,1965,,,,,
Соколов Михаил Романович,Улица Панфёрова,13,287,2004,,,,,
Хохлов Александр Михайлович,Улица Гарибальди,16,34,1961,,,,,
Горелов Владимир Дмитриевич,Проспект Вернадского,18,71,2000,,,,,
Прохоров Андрей Арсеньевич,Улица Строителей,19,242,1979,,,,,
Шестаков Андрей Львович,Улица Вавилова,11,36,1984,,,,,
Романова Вероника Николаевна,Ленинский проспект,21,199,1951,,,,,
Леонтьев Семён Иванович,Ленинский проспект,27,65,1956,,,,,
Иванов Дмитрий Ярославович,Улица Строителей,4,190,1961,,,,,
Зубков Алексей Арсеньевич,Проспект Вернадского,7,69,2001,,,,,
Васильев Кирилл Ильич,Улица Крупской,20,213,2000,,,,,
Суворов Макар Александрович,Улица Гарибальди,4,106,1970,,,,,
Гришина Кира Артемьевна,Улица Панфёрова,29,254,1957,,,,,
Соколов Лев Владиславович,Ленинский проспект,23,122,1969,,,,,
Воронина Полина Глебовна,Нахимовский проспект,29,160,1961,,,,,
Петровская Полина Максимовна,Улица Строителей,19,80,1957,,,,,
Филиппова Алиса Артёмовна,Улица Панфёрова,8,57,1964,,,,,
Новикова Кристина Васильевна,Нахимовский проспект,17,69,1960,,,,,
