ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Балашова Анна Савельевна,Улица Строителей,7,172,1956,,,,,Новикова Кира Борисовна
Сазонова Анастасия Александровна,Ленинский проспект,14,139,1967,,,,,Овчинникова Ольга Ильинична
Белова Анастасия Ивановна,Улица Гарибальди,22,78,1977,,,,,Овчинникова Дарья Ильинична
Соловьева София Константиновна,Улица Архитектора Власова,16,254,1995,,,,,Озеров Григорий Иванович
Андреева Ева Андреевна,Улица Архитектора Власова,25,129,1973,,,,,Орлов Вадим Иванович
Абрамова Кристина Андреевна,Улица Панфёрова,29,297,1987,,,,,Орлов Игорь Александрович
Карпова Арина Григорьевна,Улица Кравченко,20,239,1963,,,,,Орлов Георгий Иванович
Туманов Сергей Михайлович,Улица Вавилова,13,262,1987,,,,,Орлова Алёна Романовна
Новиков Андрей Георгиевич,Улица Строителей,15,243,1987,,,,,Осипов Александр Тимофеевич
Васильева София Марковна,Улица Гарибальди,26,130,2000,,,,,Осипов Вадим Борисович
Новикова Кристина Васильевна,Нахимовский проспект,6,108,1960,,,,,Островский Макар Глебович
Копылов Григорий Платонович,Проспект Вернадского,8,74,1969,,,,,Павлов Лев Александрович
Попов Даниил Михайлович,Ленинский проспект,11,59,1992,,,,,Павлов Евгений Кириллович
Захаров Николай Александрович,Улица Академика Пилюгина,7,103,1998,,,,,Павлов Кирилл Александрович
Шишкин Константин Павлович,Проспект Вернадского,12,124,1964,,,,,Панфилова Зоя Петровна
Ларина Александра Ярославовна,Улица Панфёрова,29,168,1991,,,,,Пахомов Владислав Макарович
Белова София Львовна,Нахимовский проспект,30,96,1964,,,,,Петров Георгий Николаевич
Анохина Полина Кирилловна,Улица Марии Ульяновой,9,170,1950,,,,,Петрова Алиса Степановна
Белова София Львовна,Улица Архитектора Власова,15,295,1980,,,,,Петрова Таисия Артёмовна
Орлов Вадим Иванович,Улица Вавилова,15,48,1972,,,,,Петровская Анастасия Макаровна
Фирсова Василиса Марковна,Улица Панфёрова,17,239,2004,,,,,Петровская Полина Максимовна
Зубков Алексей Арсеньевич,Улица Кравченко,16,224,1992,,,,,Платонова Алиса Степановна
Егорова Надежда Дмитриевна,Улица Крупской,7,85,1971,,,,,Плотников Елисей Ильич
Платонова Алиса Степановна,Улица Крупской,16,203,1950,,,,,Полякова Мария Артёмовна
Новикова Кристина Васильевна,Улица Крупской,5,192,1952,,,,,Пономарева Ирина Александровна
Власова Алина Андреевна,Улица Вавилова,6,125,1985,,,,,Пономарева Мирослава Григорьевна
Голиков Лев Никитич,Улица Панфёрова,19,24,1973,,,,,Попов Леонид Макарович
Овчинникова Ольга Ильинична,Нахимовский проспект,30,224,1975,,,,,Попов Илья Матвеевич
Левин Сергей Ильич,Улица Строителей,20,138,1971,,,,,Попов Даниил Михайлович
Козлов Роман Сергеевич,Ленинский проспект,6,4,1957,,,,,Прокофьев Дмитрий Родионович
Шилова Алиса Ивановна,Улица Архитектора Власова,3,15,1997,,,,,Прохоров Андрей Арсеньевич
Самсонова Милана Матвеевна,Улица Вавилова,1,145,1958,,,,,Родионова Дарья Александровна
Голиков Кирилл Маркович,Нахимовский проспект,2,20,1970,,,,,Романов Сергей Михайлович
Туманов Сергей Михайлович,Улица Панфёрова,17,196,1999,,,,,Романова Вероника Николаевна
Антонов Артём Платонович,Улица Кравченко,2,170,1959,,,,,Рыбаков Фёдор Дмитриевич
Дмитриев Ярослав Романович,Проспект Вернадского,14,282,1957,,,,,Сазонова Анастасия Александровна
Грачев Платон Русланович,Ленинский проспект,4,51,2005,,,,,Самсонова Милана Матвеевна
Антонов Артём Платонович,Улица Крупской,14,126,1987,,,,,Селиванова Елизавета Марковна
Дмитриев Ярослав Романович,Улица Панфёрова,21,103,1966,,,,,Семенова Виктория Ивановна
Волков Кирилл Маркович,Улица Кравченко,2,45,2000,,,,,Сергеев Гордей Ярославович
Иванов Дмитрий Ярославович,Улица Панфёрова,29,255,2002,,,,,Сергеев Михаил Станиславович
Попов Даниил Михайлович,Улица Марии Ульяновой,19,21,1956,,,,,Серебрякова Полина Ярославовна
Филиппова Надежда Ярославовна,Улица Вавилова,13,172,2005,,,,,Серебрякова Дарья Георгиевна
Суслов Демид Дмитриевич,Улица Марии Ульяновой,7,136,1978,,,,,Сидоров Матвей Даниилович
Романов Сергей Михайлович,Улица Кравченко,10,119,1950,,,,,Симонов Роман Андреевич
Максимова Полина Кирилловна,Улица Крупской,15,119,1951,,,,,Скворцов Максим Мирославович
Козлова Виктория Дмитриевна,Ленинский проспект,19,76,1989,,,,,Смирнова Полина Максимовна
Коровина Екатерина Юрьевна,Улица Академика Пилюгина,15,254,1981,,,,,Снегирева Дарья Глебовна
Волков Кирилл Маркович,Улица Архитектора Власова,30,83,1993,,,,,Соколов Лев Владиславович
Новиков Андрей Георгиевич,Улица Марии Ульяновой,14,102,1950,,,,,Соколов Михаил Романович
Константинов Александр Юрьевич,Улица Панфёрова,27,200,1952,,,,,Соколова Василиса Александровна
Мартынов Даниил Демьянович,Нахимовский проспект,7,208,1979,,,,,Соколова Полина Романовна
Федотова Полина Максимовна,Улица Кравченко,2,295,1965,,,,,Соловьева Елизавета Ивановна
Елизарова Антонина Игоревна,Улица Гарибальди,28,226,1984,,,,,Соловьева София Константиновна
Егорова Надежда Дмитриевна,Улица Крупской,26,35,1975,,,,,Степанов Дмитрий Александрович
Шилова Алиса Ивановна,Улица Крупской,5,225,1984,,,,,Суворов Макар Александрович
Николаева Дарина Григорьевна,Нахимовский проспект,18,193,2005,,,,,Суслов Демид Дмитриевич
Серебрякова Полина Ярославовна,Ленинский проспект,17,38,1979,,,,,Тарасова Арина Глебовна
Степанов Дмитрий Александрович,Улица Строителей,4,91,1951,,,,,Терентьева Арина Марковна
Григорьев Пётр Александрович,Улица Панфёрова,4,199,2004,,,,,Тихомиров Герман Даниилович
Иванов Дмитрий Ярославович,Улица Кравченко,14,111,1971,,,,,Тихонов Константин Артёмович
Грачев Платон Русланович,Улица Академика Пилюгина,19,26,2004,,,,,Тихонова Василиса Фёдоровна
Филиппова Надежда Ярославовна,Ленинский проспект,10,297,1955,,,,,Тихонова Мария Фёдоровна
Карпов Григорий Иванович,Проспект Вернадского,25,56,1974,,,,,Туманов Сергей Михайлович
Баранова Алиса Ивановна,Улица Кравченко,15,178,1972,,,,,Усова Алиса Николаевна
Куликов Ярослав Фёдорович,Улица Марии Ульяновой,25,81,1953,,,,,Федотова Полина Максимовна
Плотников Елисей Ильич,Улица Марии Ульяновой,5,278,2000,,,,,Филимонова Анна Владимировна
Попов Илья Матвеевич,Улица Панфёрова,18,68,1960,,,,,Филиппова Алиса Артёмовна
Мартынов Даниил Демьянович,Улица Вавилова,26,199,1953,,,,,Филиппова София Максимовна
Новиков Андрей Георгиевич,Улица Кравченко,18,94,1990,,,,,Филиппова Надежда Ярославовна
Смирнова Полина Максимовна,Нахимовский проспект,10,89,1994,,,,,Фирсова Василиса Марковна
Николаева Валерия Владимировна,Проспект Вернадского,9,121,1963,,,,,Фомин Артём Андреевич
Васильев Кирилл Ильич,Улица Академика Пилюгина,10,116,1994,,,,,Хохлов Александр Михайлович
Панфилова Зоя Петровна,Улица Архитектора Власова,19,47,1981,,,,,Чернышев Платон Артёмович
Скворцов Максим Мирославович,Ленинский проспект,2,117,1998,,,,,Шестаков Андрей Львович
Зубков Алексей Арсеньевич,Улица Крупской,3,88,1965,,,,,Шилова Алиса Ивановна
Сергеев Михаил Станиславович,Нахимовский проспект,28,99,1962,,,,,Шишкин Константин Павлович
Козлов Иван Михайлович,Улица Гарибальди,18,120,1968,,,,,Щеглова Мария Артёмовна
Новикова Елизавета Дмитриевна,Улица Академика Пилюгина,19,154,1985,,,,,Яковлев Леонид Константинович
Алексеев Степан Семёнович,Проспект Вернадского,5,192,1979,,,,,Яковлева Полина Тимуровна
Орлова Алёна Романовна,Улица Кравченко,27,5,1955,,,,,
Овчинникова Дарья Ильинична,Улица Вавилова,8,150,1974,,,,,
Белова Анастасия Ивановна,Улица Крупской,30,204,1998,,,,,
Александрова Василиса Ивановна,Улица Марии Ульяновой,8,242,1951,,,,,
Федотова Полина Максимовна,Улица Марии Ульяновой,3,157,1992,,,,,
Коротков Кирилл Мирославович,Улица Гарибальди,23,248,1957,,,,,
Алешина Кристина Евгеньевна,Проспект Вернадского,21,291,1958,,,,,
Давыдов Кирилл Янович,Улица Крупской,22,165,1969,,,,,
Ежова Ксения Георгиевна,Улица Панфёрова,2,82,2000,,,,,
Новикова Кира Борисовна,Улица Архитектора Власова,4,20,1969,,,,,
Коровина Екатерина Юрьевна,Ленинский проспект,24,29,1953,,,,,
Орлова Алёна Романовна,Улица Гарибальди,16,187,1960,,,,,
Сергеев Гордей Ярославович,Улица Строителей,20,71,2003,,,,,
Ананьев Алексей Семёнович,Улица Панфёрова,9,94,1981,,,,,
Иванов Артём Иванович,Улица Марии Ульяновой,29,8,1994,,,,,
Чернышев Платон Артёмович,Ленинский проспект,12,39,1996,,,,,
Соколов Лев Владиславович,Улица Строителей,20,49,1962,,,,,
Леонтьев Семён Иванович,Улица Кравченко,4,59,1969,,,,,
Карпов Григорий Иванович,Нахимовский проспект,17,102,1961,,,,,
Никитина Мария Руслановна,Улица Строителей,19,182,1960,,,,,
Петровская Полина Максимовна,Улица Марии Ульяновой,20,266,1951,,,,,
Тихонова Мария Фёдоровна,Проспект Вернадского,6,254,1964,,,,,
Алексеев Степан Семёнович,Ленинский проспект,4,76,1960,,,,,
Козлов Иван Михайлович,Проспект Вернадского,26,193,1964,,,,,
Смирнова Полина Максимовна,Проспект Вернадского,23,90,1957,,,,,
Плотников Елисей Ильич,Улица Академика Пилюгина,8,20,2001,,,,,
Иванов Даниил Олегович,Улица Кравченко,18,68,1996,,,,,
Ананьев Алексей Семёнович,Улица Архитектора Власова,29,177,1970,,,,,
Серебрякова Полина Ярославовна,Ленинский проспект,13,294,1961,,,,,
Ананьев Алексей Семёнович,Нахимовский проспект,2,11,1992,,,,,
Новикова Елизавета Дмитриевна,Улица Строителей,9,115,1967,,,,,
Филиппова Алиса Артёмовна,Улица Панфёрова,10,86,1985,,,,,
Климова Екатерина Михайловна,Улица Архитектора Власова,3,38,2001,,,,,
Васильева София Марковна,Проспект Вернадского,14,15,1990,,,,,
Терентьева Арина Марковна,Ленинский проспект,22,276,1984,,,,,
Иванов Максим Тимофеевич,Улица Академика Пилюгина,14,293,1958,,,,,
Смирнова Полина Максимовна,Улица Панфёрова,12,279,1983,,,,,
Козлова Виктория Дмитриевна,Проспект Вернадского,8,100,1993,,,,,
Пахомов Владислав Макарович,Улица Архитектора Власова,4,48,1961,,,,,
Миронов Иван Никитич,Проспект Вернадского,25,168,2000,,,,,
Голиков Лев Никитич,Ленинский проспект,1,42,1996,,,,,
Тарасова Арина Глебовна,Улица Вавилова,4,201,1977,,,,,
Соколов Лев Владиславович,Улица Вавилова,12,277,1976,,,,,
Волков Кирилл Маркович,Улица Кравченко,14,49,1956,,,,,
Гришина Кира Артемьевна,Улица Архитектора Власова,27,81,1962,,,,,
Осипов Александр Тимофеевич,Ленинский проспект,11,206,1964,,,,,
Воронина Полина Глебовна,Ленинский проспект,26,95,1980,,,,,
Захаров Илья Никитич,Улица Строителей,19,157,2004,,,,,
Ларина Александра Ярославовна,Нахимовский проспект,24,134,1978,,,,,
Серебрякова Дарья Георгиевна,Улица Строителей,18,284,2005,,,,,
Соловьева Елизавета Ивановна,Улица Гарибальди,28,71,2004,,,,,
Дмитриев Ярослав Романович,Улица Панфёрова,30,13,1972,,,,,
Баранова Алиса Ивановна,Ленинский проспект,19,220,1980,,,,,
Лазарева Анна Григорьевна,Улица Кравченко,22,176,1999,,,,,
Осипов Вадим Борисович,Нахимовский проспект,9,98,1967,,,,,
Миронов Иван Никитич,Улица Крупской,6,148,1961,,,,,
Серебрякова Дарья Георгиевна,Проспект Вернадского,3,100,1985,,,,,
Васильев Михаил Константинович,Улица Марии Ульяновой,6,54,1954,,,,,
Александрова Василиса Ивановна,Улица Строителей,25,115,1973,,,,,
Тихомиров Герман Даниилович,Проспект Вернадского,7,83,1961,,,,,
Хохлов Александр Михайлович,Улица Строителей,5,300,2002,,,,,
Давыдов Кирилл Янович,Улица Панфёрова,28,191,1983,,,,,
Кукушкин Павел Львович,Ленинский проспект,16,214,1980,,,,,
Соловьева Елизавета Ивановна,Улица Гарибальди,13,244,1960,,,,,
Кудрявцева Анна Тимофеевна,Ленинский проспект,10,199,1985,,,,,
Иванов Дмитрий Ярославович,Улица Марии Ульяновой,30,125,1981,,,,,
Колесников Георгий Маркович,Нахимовский проспект,30,79,1985,,,,,
Попов Даниил Михайлович,Нахимовский проспект,9,30,1970,,,,,
Воронина Полина Глебовна,Улица Марии Ульяновой,23,24,1963,,,,,
Осипов Вадим Борисович,Улица Академика Пилюгина,2,24,1963,,,,,
Карпов Александр Тимурович,Проспект Вернадского,16,289,1977,,,,,
Сидоров Матвей Даниилович,Улица Гарибальди,19,225,1995,,,,,
Григорьев Пётр Александрович,Улица Панфёрова,28,95,1955,,,,,
Соколова Полина Романовна,Улица Панфёрова,13,59,2001,,,,,
Соколова Полина Романовна,Улица Панфёрова,5,295,1956,,,,,
Карпов Александр Тимурович,Улица Вавилова,9,248,2005,,,,,
Орлов Игорь Александрович,Нахимовский проспект,12,176,1953,,,,,
Баранова Виктория Максимовна,Улица Академика Пилюгина,10,282,1981,,,,,
Ларина Александра Ярославовна,Улица Гарибальди,17,124,1961,,,,,
Дорофеев Никита Александрович,Проспект Вернадского,5,200,1952,,,,,
Петров Георгий Николаевич,Улица Кравченко,23,289,1983,,,,,
Максимова Полина Кирилловна,Улица Панфёрова,25,92,1974,,,,,
Воронина Полина Глебовна,Проспект Вернадского,11,46,1963,,,,,
Карпов Александр Тимурович,Улица Кравченко,10,104,2003,,,,,
Новикова София Елисеевна,Улица Крупской,11,136,1987,,,,,
Полякова Мария Артёмовна,Улица Гарибальди,11,198,1955,,,,,
Орлов Георгий Иванович,Проспект Вернадского,8,185,2004,,,,,
Давыдов Кирилл Янович,Улица Кравченко,27,3,1992,,,,,
Суворов Макар Александрович,Улица Академика Пилюгина,16,253,1996,,,,,
Соколова Василиса Александровна,Улица Марии Ульяновой,11,182,1965,,,,,
Климова Екатерина Михайловна,Улица Крупской,15,91,1984,,,,,
Петровская Полина Максимовна,Улица Крупской,17,74,1978,,,,,
Соколова Василиса Александровна,Улица Вавилова,11,229,1989,,,,,
Блохина Елизавета Ильинична,Нахимовский проспект,11,130,1985,,,,,
Громова Кира Антоновна,Улица Архитектора Власова,23,16,1958,,,,,
Крючков Вячеслав Андреевич,Улица Строителей,26,236,1998,,,,,
Иванова Татьяна Юрьевна,Ленинский проспект,7,135,1970,,,,,
Коротков Кирилл Мирославович,Улица Академика Пилюгина,12,67,1969,,,,,
Новикова София Елисеевна,Нахимовский проспект,30,119,2005,,,,,
Денисов Илья Дмитриевич,Ленинский проспект,11,122,1967,,,,,
Дмитриев Ярослав Романович,Улица Марии Ульяновой,28,233,1985,,,,,
Наумов Артём Константинович,Улица Гарибальди,18,187,1964,,,,,
Елизарова Антонина Игоревна,Ленинский проспект,28,66,1984,,,,,
Захаров Роман Денисович,Улица Панфёрова,18,157,1962,,,,,
Тихонова Мария Фёдоровна,Улица Архитектора Власова,22,58,1978,,,,,
Тихонов Константин Артёмович,Улица Гарибальди,12,178,1958,,,,,
Левин Максим Богданович,Ленинский проспект,20,175,2002,,,,,
Сазонова Анастасия Александровна,Нахимовский проспект,3,40,2001,,,,,
Дмитриев Ярослав Романович,Улица Строителей,26,110,1961,,,,,
Жданов Илья Михайлович,Нахимовский проспект,8,277,1974,,,,,
Куликов Ярослав Фёдорович,Улица Гарибальди,4,131,1980,,,,,
Андреева Ева Андреевна,Проспект Вернадского,16,280,1960,,,,,
Козлов Глеб Матвеевич,Улица Вавилова,20,145,1993,,,,,
