ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Анохина Полина Кирилловна,Улица Вавилова,2,75,2003,,,,,Егоров Глеб Семёнович
Иванов Дмитрий Ярославович,Улица Крупской,17,177,1977,,,,,Егорова Надежда Дмитриевна
Соловьева София Константиновна,Улица Панфёрова,5,152,2000,,,,,Ежова Ксения Георгиевна
Петровская Анастасия Макаровна,Улица Марии Ульяновой,24,268,1988,,,,,Елизарова Антонина Игоревна
Гордеева Диана Михайловна,Нахимовский проспект,27,223,2003,,,,,Ермакова Майя Никитична
Орлова Алёна Романовна,Проспект Вернадского,1,119,1962,,,,,Жданов Кирилл Фёдорович
Суворов Макар Александрович,Улица Крупской,10,218,1987,,,,,Жданов Илья Михайлович
Овчинникова Ольга Ильинична,Улица Кравченко,12,128,1979,,,,,Жданова Ульяна Никитична
Козлов Роман Сергеевич,Улица Марии Ульяновой,13,216,1981,,,,,Захаров Роман Денисович
Антонов Артём Платонович,Улица Гарибальди,14,54,1985,,,,,Захаров Николай Александрович
Федотова Полина Максимовна,Улица Крупской,4,141,2002,,,,,Захаров Илья Никитич
Родионова Дарья Александровна,Улица Гарибальди,10,135,1976,,,,,Захарова Дарина Ярославовна
Максимова Анна Фёдоровна,Улица Вавилова,29,42,1999,,,,,Зубков Алексей Арсеньевич
Алешина Кристина Евгеньевна,Улица Академика Пилюгина,9,152,1990,,,,,Иванов Артём Иванович
Богданов Владимир Маркович,Улица Крупской,28,10,1954,,,,,Иванов Даниил Олегович
Дорофеева Анна Фёдоровна,Улица Кравченко,8,41,1969,,,,,Иванов Дмитрий Ярославович
Васильева София Марковна,Улица Гарибальди,17,81,1998,,,,,Иванов Максим Тимофеевич
Егорова Надежда Дмитриевна,Улица Вавилова,11,251,1973,,,,,Иванова Татьяна Юрьевна
Исаев Илья Георгиевич,Улица Архитектора Власова,6,261,2002,,,,,Исаев Илья Георгиевич
Самсонова Милана Матвеевна,Улица Марии Ульяновой,25,247,1996,,,,,Калинин Даниил Артёмович
Матвеева Ева Андреевна,Нахимовский проспект,5,243,1955,,,,,Карпов Александр Тимурович
Герасимов Артур Денисович,Нахимовский проспект,21,169,2003,,,,,Карпов Григорий Иванович
Тихонов Константин Артёмович,Улица Крупской,14,111,1963,,,,,Карпова Арина Григорьевна
Константинов Александр Юрьевич,Улица Строителей,7,145,1963,,,,,Карташов Марк Владимирович
Белова София Львовна,Улица Архитектора Власова,15,270,1957,,,,,Климова Екатерина Михайловна
Крючков Вячеслав Андреевич,Проспект Вернадского,25,113,1989,,,,,Кожевников Иван Евгеньевич
Ежова Ксения Георгиевна,Улица Гарибальди,17,4,1956,,,,,Козлов Роман Сергеевич
Климова Екатерина Михайловна,Улица Крупской,18,182,1998,,,,,Козлов Глеб Матвеевич
Егоров Глеб Семёнович,Улица Архитектора Власова,21,73,1992,,,,,Козлов Иван Михайлович
Алексеев Матвей Яковлевич,Улица Гарибальди,21,1,1999,,,,,Козлова Виктория Дмитриевна
Петровская Анастасия Макаровна,Нахимовский проспект,16,72,1973,,,,,Колесников Георгий Маркович
Жданова Ульяна Никитична,Улица Архитектора Власова,1,256,1952,,,,,Константинов Александр Юрьевич
Соколов Лев Владиславович,Улица Марии Ульяновой,28,71,1991,,,,,Копылов Григорий Платонович
Тихомиров Герман Даниилович,Нахимовский проспект,9,239,1971,,,,,Коровина Екатерина Юрьевна
Степанов Дмитрий Александрович,Улица Строителей,24,104,1988,,,,,Коротков Кирилл Мирославович
Пономарева Мирослава Григорьевна,Нахимовский проспект,12,173,1974,,,,,Крючков Вячеслав Андреевич
Орлов Вадим Иванович,Улица Крупской,3,123,1953,,,,,Кудрявцева Анна Тимофеевна
Островский Макар Глебович,Улица Академика Пилюгина,14,53,1997,,,,,Кукушкин Павел Львович
Попов Даниил Михайлович,Улица Кравченко,5,16,1955,,,,,Куликов Ярослав Фёдорович
Зубков Алексей Арсеньевич,Улица Строителей,4,253,1974,,,,,Куликова Мария Никитична
Максимова Анна Фёдоровна,Улица Строителей,2,289,1975,,,,,Лазарева Анна Григорьевна
Попов Даниил Михайлович,Улица Крупской,25,151,1994,,,,,Ларина Александра Ярославовна
Карпов Григорий Иванович,Улица Гарибальди,8,28,1991,,,,,Латышев Роман Михайлович
Белова Анастасия Ивановна,Улица Строителей,21,191,2004,,,,,Лебедева Василиса Андреевна
Тихомиров Герман Даниилович,Улица Строителей,2,147,1973,,,,,Левин Максим Богданович
Родионова Дарья Александровна,Нахимовский проспект,29,278,1984,,,,,Левин Сергей Ильич
Иванов Даниил Олегович,Улица Строителей,1,103,1962,,,,,Левина Анна Александровна
Овчинникова Дарья Ильинична,Улица Академика Пилюгина,10,234,1973,,,,,Леонтьев Семён Иванович
Иванов Даниил Олегович,Улица Крупской,12,51,1957,,,,,Литвинова Полина Лукинична
Попов Даниил Михайлович,Улица Марии Ульяновой,14,168,1960,,,,,Максимова Полина Кирилловна
Кукушкин Павел Львович,Нахимовский проспект,19,172,1964,,,,,Максимова Анна Фёдоровна
Соловьева София Константиновна,Улица Панфёрова,1,149,1966,,,,,Максимова Полина Максимовна
Крючков Вячеслав Андреевич,Улица Строителей,5,260,1986,,,,,Максимова Алиса Ярославовна
Овчинникова Ольга Ильинична,Улица Кравченко,23,200,1975,,,,,Мартынов Даниил Демьянович
Максимова Анна Фёдоровна,Нахимовский проспект,10,256,1968,,,,,Матвеева Ева Андреевна
Литвинова Полина Лукинична,Улица Панфёрова,19,182,1985,,,,,Миронов Илья Мирославович
Соколов Лев Владиславович,Улица Кравченко,2,188,1992,,,,,Миронов Иван Никитич
Никонова София Константиновна,Улица Кравченко,1,200,1971,,,,,Михайлов Елисей Михайлович
Денисов Илья Дмитриевич,Улица Архитектора Власова,30,288,1954,,,,,Моисеева София Максимовна
Иванов Дмитрий Ярославович,Проспект Вернадского,14,56,1993,,,,,Морозов Роман Артурович
Фирсова Василиса Марковна,Улица Крупской,13,286,1990,,,,,Наумов Артём Константинович
Жданов Кирилл Фёдорович,Улица Архитектора Власова,14,89,1964,,,,,Никитина Мария Руслановна
Шилова Алиса Ивановна,Улица Строителей,2,1,2000,,,,,Николаева Дарина Григорьевна
Колесников Георгий Маркович,Улица Вавилова,13,249,1982,,,,,Николаева Валерия Владимировна
Константинов Александр Юрьевич,Улица Марии Ульяновой,27,46,1957,,,,,Никонова София Константиновна
Новикова Елизавета Дмитриевна,Улица Академика Пилюгина,7,275,1987,,,,,Новиков Андрей Георгиевич
Пахомов Владислав Макарович,Улица Гарибальди,11,171,1987,,,,,Новикова Кристина Васильевна
Алексеев Степан Семёнович,Улица Академика Пилюгина,22,217,1961,,,,,Новикова София Елисеевна
Сазонова Анастасия Александровна,Улица Панфёрова,10,225,1954,,,,,Новикова Елизавета Дмитриевна
Горелов Владимир Дмитриевич,Улица Крупской,14,179,1956,,,,,Новикова Кира Борисовна
Полякова Мария Артёмовна,Улица Строителей,12,99,1985,,,,,Овчинникова Ольга Ильинична
Голиков Кирилл Маркович,Улица Гарибальди,24,168,1953,,,,,Овчинникова Дарья Ильинична
Белов Максим Демидович,Нахимовский проспект,6,194,1990,,,,,Озеров Григорий Иванович
Сергеев Михаил Станиславович,Улица Строителей,21,182,1994,,,,,Орлов Вадим Иванович
Баранова Алиса Ивановна,Проспект Вернадского,11,295,1964,,,,,Орлов Игорь Александрович
Карпов Григорий Иванович,Улица Вавилова,6,156,1979,,,,,Орлов Георгий Иванович
Прокофьев Дмитрий Родионович,Улица Строителей,16,82,1963,,,,,Орлова Алёна Романовна
Шишкин Константин Павлович,Улица Панфёрова,15,18,1999,,,,,Осипов Александр Тимофеевич
Морозов Роман Артурович,Улица Архитектора Власова,20,270,1977,,,,,Осипов Вадим Борисович
Петрова Алиса Степановна,Проспект Вернадского,6,228,1951,,,,,Островский Макар Глебович
Ермакова Майя Никитична,Улица Вавилова,6,140,1955,,,,,Павлов Лев Александрович
Федотова Полина Максимовна,Улица Кравченко,1,170,1955,,,,,Павлов Евгений Кириллович
Степанов Дмитрий Александрович,Ленинский проспект,8,152,1977,,,,,Павлов Кирилл Александрович
Давыдов Кирилл Янович,Нахимовский проспект,6,111,1954,,,,,Панфилова Зоя Петровна
Сазонова Анастасия Александровна,Улица Вавилова,7,42,1974,,,,,Пахомов Владислав Макарович
Моисеева София Максимовна,Улица Вавилова,24,71,1993,,,,,Петров Георгий Николаевич
Симонов Роман Андреевич,Улица Строителей,6,239,1989,,,,,Петрова Алиса Степановна
Герасимов Андрей Матвеевич,Улица Марии Ульяновой,2,68,1987,,,,,Петрова Таисия Артёмовна
Симонов Роман Андреевич,Улица Крупской,12,48,1962,,,,,Петровская Анастасия Макаровна
Пахомов Владислав Макарович,Улица Гарибальди,8,265,1989,,,,,Петровская Полина Максимовна
Козлов Глеб Матвеевич,Улица Марии Ульяновой,24,248,1990,,,,,Платонова Алиса Степановна
Алешина Кристина Евгеньевна,Проспект Вернадского,1,26,1951,,,,,Плотников Елисей Ильич
Ермакова Майя Никитична,Улица Архитектора Власова,8,298,1988,,,,,Полякова Мария Артёмовна
Новиков Андрей Георгиевич,Улица Архитектора Власова,20,300,2002,,,,,Пономарева Ирина Александровна
Платонова Алиса Степановна,Улица Архитектора Власова,1,58,1955,,,,,Пономарева Мирослава Григорьевна
Орлова Алёна Романовна,Улица Строителей,2,290,1989,,,,,Попов Леонид Макарович
Баранова Виктория Максимовна,Ленинский проспект,11,239,1989,,,,,Попов Илья Матвеевич
Леонтьев Семён Иванович,Улица Гарибальди,3,270,1956,,,,,Попов Даниил Михайлович
Прохоров Андрей Арсеньевич,Улица Панфёрова,22,263,1988,,,,,Прокофьев Дмитрий Родионович
Васильев Кирилл Ильич,Нахимовский проспект,1,38,1959,,,,,Прохоров Андрей Арсеньевич
Сидоров Матвей Даниилович,Улица Архитектора Власова,9,187,2001,,,,,Родионова Дарья Александровна
Шишкин Константин Павлович,Улица Гарибальди,22,129,1965,,,,,Романов Сергей Михайлович
Александрова Василиса Ивановна,Улица Марии Ульяновой,21,180,1974,,,,,Романова Вероника Николаевна
Николаева Дарина Григорьевна,Проспект Вернадского,27,292,1994,,,,,Рыбаков Фёдор Дмитриевич
Калинин Даниил Артёмович,Улица Панфёрова,21,111,1968,,,,,Сазонова Анастасия Александровна
Мартынов Даниил Демьянович,Улица Строителей,29,271,1967,,,,,Самсонова Милана Матвеевна
Васильева София Николаевна,Улица Крупской,4,70,1950,,,,,Селиванова Елизавета Марковна
Дорофеева Анна Фёдоровна,Нахимовский проспект,28,238,1963,,,,,Семенова Виктория Ивановна
Тихомиров Герман Даниилович,Улица Панфёрова,9,250,1988,,,,,Сергеев Гордей Ярославович
Богданов Владимир Маркович,Улица Академика Пилюгина,5,37,1979,,,,,Сергеев Михаил Станиславович
Захарова Дарина Ярославовна,Улица Панфёрова,14,82,1976,,,,,Серебрякова Полина Ярославовна
Иванов Даниил Олегович,Улица Кравченко,1,164,1997,,,,,Серебрякова Дарья Георгиевна
Филиппова София Максимовна,Улица Кравченко,15,7,1997,,,,,Сидоров Матвей Даниилович
Никонова София Константиновна,Улица Гарибальди,19,271,1995,,,,,Симонов Роман Андреевич
Леонтьев Семён Иванович,Ленинский проспект,30,172,2003,,,,,Скворцов Максим Мирославович
Ермакова Майя Никитична,Ленинский проспект,29,244,1979,,,,,Смирнова Полина Максимовна
Новиков Андрей Георгиевич,Улица Панфёрова,27,152,1976,,,,,Снегирева Дарья Глебовна
Коротков Кирилл Мирославович,Улица Архитектора Власова,18,47,2005,,,,,Соколов Лев Владиславович
Филимонова Анна Владимировна,Ленинский проспект,12,281,1969,,,,,Соколов Михаил Романович
Громова Кира Антоновна,Улица Гарибальди,23,203,1989,,,,,Соколова Василиса Александровна
Дьякова Анастасия Александровна,Улица Строителей,26,21,1985,,,,,Соколова Полина Романовна
Егорова Надежда Дмитриевна,Проспект Вернадского,3,101,1993,,,,,Соловьева Елизавета Ивановна
Белова Анастасия Ивановна,Проспект Вернадского,10,3,1967,,,,,Соловьева София Константиновна
Симонов Роман Андреевич,Улица Строителей,13,132,1967,,,,,Степанов Дмитрий Александрович
Карпов Григорий Иванович,Улица Кравченко,18,128,1955,,,,,Суворов Макар Александрович
Ларина Александра Ярославовна,Улица Вавилова,1,14,1974,,,,,Суслов Демид Дмитриевич
Астахова София Ильинична,Улица Панфёрова,14,74,2003,,,,,Тарасова Арина Глебовна
Захаров Роман Денисович,Улица Строителей,10,48,1951,,,,,Терентьева Арина Марковна
Шестаков Андрей Львович,Улица Марии Ульяновой,29,26,1994,,,,,Тихомиров Герман Даниилович
Миронов Иван Никитич,Улица Вавилова,23,210,1969,,,,,Тихонов Константин Артёмович
Лазарева Анна Григорьевна,Улица Марии Ульяновой,1,106,1963,,,,,Тихонова Василиса Фёдоровна
Анохина Полина Кирилловна,Улица Архитектора Власова,2,98,1973,,,,,Тихонова Мария Фёдоровна
Орлова Алёна Романовна,Улица Архитектора Власова,8,215,1978,,,,,Туманов Сергей Михайлович
Пономарева Ирина Александровна,Улица Кравченко,29,108,1953,,,,,Усова Алиса Николаевна
Сидоров Матвей Даниилович,Улица Марии Ульяновой,21,203,1995,,,,,Федотова Полина Максимовна
Антонов Артём Платонович,Улица Панфёрова,2,126,1997,,,,,Филимонова Анна Владимировна
Захаров Николай Александрович,Проспект Вернадского,12,148,1999,,,,,Филиппова Алиса Артёмовна
Левин Сергей Ильич,Улица Архитектора Власова,10,111,1991,,,,,Филиппова София Максимовна
Островский Макар Глебович,Улица Вавилова,2,179,1981,,,,,Филиппова Надежда Ярославовна
Щеглова Мария Артёмовна,Улица Кравченко,2,250,2004,,,,,Фирсова Василиса Марковна
Моисеева София Максимовна,Улица Строителей,15,11,1977,,,,,Фомин Артём Андреевич
Волков Кирилл Маркович,Улица Академика Пилюгина,15,264,1994,,,,,Хохлов Александр Михайлович
Новикова Кристина Васильевна,Улица Крупской,14,220,1975,,,,,Чернышев Платон Артёмович
Овчинникова Дарья Ильинична,Улица Панфёрова,30,66,2004,,,,,Шестаков Андрей Львович
Новикова Елизавета Дмитриевна,Улица Гарибальди,26,135,1957,,,,,Шилова Алиса Ивановна
Хохлов Александр Михайлович,Улица Панфёрова,29,48,1990,,,,,Шишкин Константин Павлович
Громова Кира Антоновна,Улица Гарибальди,25,55,1998,,,,,Щеглова Мария Артёмовна
Калинин Даниил Артёмович,Проспект Вернадского,18,160,1959,,,,,Яковлев Леонид Константинович
Баранова Алиса Ивановна,Улица Марии Ульяновой,22,271,2003,,,,,Яковлева Полина Тимуровна
Иванов Даниил Олегович,Улица Академика Пилюгина,22,144,1951,,,,,
Иванов Максим Тимофеевич,Ленинский проспект,2,214,1971,,,,,
Исаев Илья Георгиевич,Улица Марии Ульяновой,5,230,2005,,,,,
Яковлев Леонид Константинович,Улица Академика Пилюгина,15,296,2001,,,,,
Крючков Вячеслав Андреевич,Улица Академика Пилюгина,29,102,1997,,,,,
Плотников Елисей Ильич,Улица Архитектора Власова,5,250,1963,,,,,
Громова Кира Антоновна,Ленинский проспект,18,19,1977,,,,,
Новикова Кира Борисовна,Улица Гарибальди,16,210,1973,,,,,
Кукушкин Павел Львович,Улица Марии Ульяновой,14,21,1982,,,,,
Усова Алиса Николаевна,Улица Кравченко,3,117,2003,,,,,
Родионова Дарья Александровна,Улица Академика Пилюгина,11,256,1994,,,,,
Суслов Демид Дмитриевич,Улица Вавилова,30,189,1953,,,,,
Волков Кирилл Маркович,Улица Кравченко,11,52,2004,,,,,
Давыдов Кирилл Янович,Улица Марии Ульяновой,12,5,1990,,,,,
Дорофеева Анна Фёдоровна,Улица Строителей,14,175,1997,,,,,
Орлов Вадим Иванович,Улица Крупской,21,87,1960,,,,,
Попов Леонид Макарович,Улица Архитектора Власова,20,82,1994,,,,,
Хохлов Александр Михайлович,Улица Вавилова,21,98,1950,,,,,
Алешина Кристина Евгеньевна,Нахимовский проспект,18,18,1999,,,,,
Егоров Глеб Семёнович,Улица Академика Пилюгина,8,11,2001,,,,,
Ларина Александра Ярославовна,Улица Гарибальди,26,69,1972,,,,,
Прохоров Андрей Арсеньевич,Улица Марии Ульяновой,1,100,1983,,,,,
Самсонова Милана Матвеевна,Улица Строителей,19,146,1985,,,,,
Сидоров Матвей Даниилович,Улица Крупской,6,101,1993,,,,,
Серебрякова Полина Ярославовна,Проспект Вернадского,19,229,1984,,,,,
Егорова Надежда Дмитриевна,Улица Академика Пилюгина,9,223,2001,,,,,
Тихонова Василиса Фёдоровна,Улица Крупской,6,51,1990,,,,,
Захаров Николай Александрович,Улица Гарибальди,3,94,1974,,,,,
Васильев Михаил Константинович,Улица Марии Ульяновой,16,298,1983,,,,,
Серебрякова Полина Ярославовна,Улица Строителей,11,122,1959,,,,,
Горелов Владимир Дмитриевич,Улица Кравченко,26,46,1969,,,,,
Алексеев Степан Семёнович,Улица Строителей,24,201,1975,,,,,
Иванов Максим Тимофеевич,Проспект Вернадского,29,98,1970,,,,,
Васильева София Николаевна,Ленинский проспект,14,24,1970,,,,,
Леонтьев Семён Иванович,Улица Кравченко,5,86,2004,,,,,
Смирнова Полина Максимовна,Улица Архитектора Власова,27,31,1995,,,,,
Кукушкин Павел Львович,Улица Архитектора Власова,14,158,1959,,,,,
Карпова Арина Григорьевна,Проспект Вернадского,3,5,1993,,,,,
Пономарева Мирослава Григорьевна,Улица Гарибальди,16,255,1980,,,,,
Сидоров Матвей Даниилович,Ленинский проспект,5,99,1997,,,,,
Прокофьев Дмитрий Родионович,Улица Марии Ульяновой,1,43,1979,,,,,
Баранова Майя Михайловна,Улица Панфёрова,9,228,1963,,,,,
Герасимов Артур Денисович,Улица Архитектора Власова,20,105,1972,,,,,
Исаев Илья Георгиевич,Улица Марии Ульяновой,10,168,1957,,,,,
Баранова Майя Михайловна,Улица Панфёрова,26,67,1982,,,,,
Федотова Полина Максимовна,Проспект Вернадского,16,176,2003,,,,,
Алексеев Матвей Яковлевич,Улица Крупской,14,31,1971,,,,,
Орлов Георгий Иванович,Ленинский проспект,22,48,1962,,,,,
Анохина Полина Кирилловна,Улица Вавилова,8,249,1986,,,,,
Петрова Таисия Артёмовна,Улица Строителей,7,214,1952,,,,,
Сергеев Михаил Станиславович,Улица Архитектора Власова,8,300,1989,,,,,
Смирнова Полина Максимовна,Улица Вавилова,3,243,1967,,,,,
Овчинникова Дарья Ильинична,Улица Кравченко,19,279,1953,,,,,
Прохоров Андрей Арсеньевич,Улица Строителей,25,88,1962,,,,,
Карташов Марк Владимирович,Нахимовский проспект,11,35,1980,,,,,
Никонова София Константиновна,Нахимовский проспект,14,13,1981,,,,,
Сидоров Матвей Даниилович,Нахимовский проспект,12,73,1960,,,,,
Плотников Елисей Ильич,Улица Гарибальди,28,212,1962,,,,,
Блохина Елизавета Ильинична,Нахимовский проспект,17,4,1992,,,,,
Осипов Александр Тимофеевич,Улица Кравченко,16,173,1963,,,,,
Жданова Ульяна Никитична,Улица Панфёрова,25,271,1969,,,,,
Алексеев Степан Семёнович,Нахимовский проспект,26,112,1991,,,,,
Федотова Полина Максимовна,Улица Марии Ульяновой,9,24,1999,,,,,
Крючков Вячеслав Андреевич,Улица Строителей,15,45,2002,,,,,
Денисов Илья Дмитриевич,Проспект Вернадского,26,25,1954,,,,,
Кукушкин Павел Львович,Улица Строителей,7,172,1998,,,,,
Исаев Илья Георгиевич,Нахимовский проспект,11,229,1988,,,,,
Яковлев Леонид Константинович,Нахимовский проспект,16,284,1997,,,,,
Кукушкин Павел Львович,Улица Строителей,13,134,1961,,,,,
Попов Леонид Макарович,Улица Марии Ульяновой,11,114,1950,,,,,
Жданов Илья Михайлович,Проспект Вернадского,30,134,1986,,,,,
Петровская Анастасия Макаровна,Проспект Вернадского,9,245,1972,,,,,
Дмитриев Ярослав Романович,Ленинский проспект,19,234,1954,,,,,
Дьякова Анастасия Александровна,Улица Марии Ульяновой,1,234,2002,,,,,
Жданов Илья Михайлович,Ленинский проспект,19,118,1959,,,,,
Чернышев Платон Артёмович,Улица Строителей,8,177,1979,,,,,
Леонтьев Семён Иванович,Улица Кравченко,18,60,1972,,,,,
Петровская Полина Максимовна,Нахимовский проспект,4,156,2001,,,,,
Филиппова Алиса Артёмовна,Улица Вавилова,17,155,1965,,,,,
Жданов Илья Михайлович,Улица Академика Пилюгина,10,278,1989,,,,,
Новикова София Елисеевна,Улица Строителей,8,74,1970,,,,,
Прохоров Андрей Арсеньевич,Проспект Вернадского,5,19,2004,,,,,
Попов Леонид Макарович,Ленинский проспект,9,205,1977,,,,,
Белов Максим Демидович,Улица Панфёрова,11,245,1958,,,,,
Соловьева София Константиновна,Улица Кравченко,21,101,1991,,,,,
Платонова Алиса Степановна,Улица Гарибальди,4,80,1979,,,,,
Филимонова Анна Владимировна,Улица Кравченко,25,263,1963,,,,,
Максимова Алиса Ярославовна,Улица Вавилова,16,266,1975,,,,,
Лебедева Василиса Андреевна,Нахимовский проспект,5,131,1952,,,,,
Родионова Дарья Александровна,Улица Панфёрова,13,294,1988,,,,,
Власова Алина Андреевна,Улица Академика Пилюгина,13,244,1977,,,,,
Петров Георгий Николаевич,Улица Вавилова,23,88,1987,,,,,
Петровская Полина Максимовна,Проспект Вернадского,16,73,1954,,,,,
Родионова Дарья Александровна,Улица Академика Пилюгина,10,278,1992,,,,,
Калинин Даниил Артёмович,Улица Гарибальди,20,177,1959,,,,,
Коровина Екатерина Юрьевна,Улица Академика Пилюгина,21,169,1971,,,,,
Жданов Илья Михайлович,Улица Вавилова,27,245,1952,,,,,
Дорофеев Никита Александрович,Улица Гарибальди,3,182,1962,,,,,
Ермакова Майя Никитична,Улица Марии Ульяновой,28,138,1974,,,,,
Фомин Артём Андреевич,Проспект Вернадского,3,119,1998,,,,,
Никитина Мария Руслановна,Улица Академика Пилюгина,20,122,1951,,,,,
Голиков Лев Никитич,Улица Вавилова,10,248,1951,,,,,
Озеров Григорий Иванович,Проспект Вернадского,3,45,1973,,,,,
Литвинова Полина Лукинична,Улица Кравченко,6,244,1960,,,,,
Новикова Кристина Васильевна,Улица Марии Ульяновой,15,50,1959,,,,,
Соколова Василиса Александровна,Ленинский проспект,20,237,1996,,,,,
Петровская Полина Максимовна,Проспект Вернадского,16,291,1963,,,,,
Белова София Львовна,Улица Строителей,26,110,1999,,,,,
Коровина Екатерина Юрьевна,Улица Панфёрова,5,161,1995,,,,,
Платонова Алиса Степановна,Улица Вавилова,28,84,1999,,,,,
Селиванова Елизавета Марковна,Улица Вавилова,23,176,1998,,,,,
Коротков Кирилл Мирославович,Улица Строителей,6,136,1986,,,,,
